1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.832762	0.000000	4.471457	0.080917	351.0
1	-1.851714	0.000000	4.471457	0.049564	10.8
2	-1.849065	0.000000	4.471457	0.044227	12.5
3	-1.857187	0.000000	4.471457	0.026565	9.4
4	-1.859688	0.000000	4.471457	0.032456	9.1
5	-1.866448	0.000000	4.471457	0.016868	9.1
6	-1.866968	0.000000	4.471457	0.023830	8.9
7	-1.875530	0.000000	4.471457	0.018814	9.5
8	-1.865421	0.000000	4.471457	0.015726	10.1
9	-1.869560	0.000000	4.471457	0.020595	10.3
10	-1.878096	0.000000	4.471457	0.023679	9.3
11	-1.856818	1.000000	4.268209	0.020388	10.8
12	-1.868923	2.000000	4.082634	0.017439	12.5
13	-1.870275	3.000000	3.912525	0.011592	10.0
14	-1.882293	3.964941	3.761298	0.019167	10.9
15	-1.862489	4.964919	3.616441	0.018465	10.9
16	-1.869161	5.964919	3.482324	0.010999	10.3
17	-1.865915	6.961702	3.358186	0.012269	11.0
18	-1.871180	7.015884	3.351691	0.013691	11.3
19	-1.885173	8.013744	3.236418	0.019346	10.1
20	-1.877360	7.970963	3.241197	0.019863	10.0
21	-1.872749	8.970963	3.133052	0.010838	10.9
22	-1.870415	9.017050	3.128242	0.011497	11.8
23	-1.877372	9.008355	3.129148	0.016427	13.7
24	-1.879946	10.008346	3.028236	0.011206	13.4
25	-1.863223	9.965527	3.032424	0.012836	11.1
26	-1.875893	9.926557	3.036245	0.012057	10.9
27	-1.887291	10.916872	2.942036	0.010257	10.7
28	-1.870016	10.874148	2.945980	0.009130	10.3
29	-1.874081	11.841296	2.859223	0.005920	11.5
30	-1.872715	11.886112	2.855327	0.012120	9.6
31	-1.867155	11.843656	2.859018	0.013357	9.6
32	-1.880092	12.672493	2.788644	0.011917	12.7
33	-1.865470	13.605077	2.713492	0.008524	10.3
34	-1.869214	13.563566	2.716751	0.008604	11.2
35	-1.877916	13.803166	2.698047	0.009704	11.6
36	-1.868832	13.781148	2.699755	0.012339	11.2
37	-1.866421	14.772199	2.624960	0.016922	11.6
38	-1.870561	15.772152	2.553579	0.011025	11.3
39	-1.869486	16.769661	2.486138	0.008250	12.9
40	-1.878514	16.726887	2.488957	0.011486	10.4
41	-1.881492	16.715843	2.489686	0.012041	10.4
42	-1.868134	17.715839	2.425379	0.006396	9.5
43	-1.861631	17.842646	2.417461	0.011101	10.0
44	-1.879061	17.800151	2.420109	0.009813	10.6
45	-1.877890	17.950091	2.410793	0.007856	9.9
46	-1.882538	17.932586	2.411877	0.012186	10.3
47	-1.876198	18.924398	2.351960	0.011972	12.8
48	-1.882281	19.101832	2.341554	0.014162	11.0
49	-1.874859	19.289315	2.330657	0.014643	10.4
50	-1.883979	20.185989	2.279916	0.014736	9.9
51	-1.889151	21.185642	2.225890	0.015194	10.0
52	-1.872018	22.184254	2.174417	0.007375	11.0
53	-1.880946	23.184192	2.125208	0.010264	11.0
54	-1.875597	23.141547	2.127261	0.011641	11.6
55	-1.872240	24.138411	2.080281	0.010435	11.1
56	-1.874195	24.120725	2.081097	0.010852	11.8
57	-1.874048	24.589041	2.059719	0.011875	12.3
58	-1.882583	25.417812	2.022943	0.011993	10.4
59	-1.875537	26.151629	1.991460	0.007173	9.5
60	-1.874960	26.208566	1.989058	0.009625	11.0
61	-1.869992	26.168628	1.990742	0.013728	11.8
62	-1.867011	27.166243	1.949510	0.011275	13.0
63	-1.876952	27.388525	1.940555	0.013612	12.5
64	-1.882532	27.529081	1.934934	0.012849	10.2
65	-1.871451	27.486260	1.936643	0.010471	12.3
66	-1.873326	27.567278	1.933413	0.008830	10.1
67	-1.862698	27.541590	1.934436	0.014001	10.4
68	-1.868100	28.541577	1.895390	0.015292	9.7
69	-1.871875	29.541573	1.857888	0.009251	13.6
70	-1.878672	30.534044	1.822108	0.014990	12.3
71	-1.873857	31.403725	1.791869	0.011588	10.6
72	-1.874144	32.401989	1.758373	0.014326	10.2
73	-1.875721	33.362907	1.727292	0.007993	11.6
74	-1.875963	33.355178	1.727537	0.012165	11.3
75	-1.882663	33.643008	1.718437	0.009388	12.4
76	-1.878421	33.708994	1.716365	0.008760	12.4
77	-1.877518	34.386860	1.695359	0.017539	11.6
78	-1.872542	35.372486	1.665717	0.019322	10.9
79	-1.882825	36.372486	1.636683	0.008375	11.5
80	-1.871303	36.776109	1.625250	0.008119	10.7
81	-1.881702	36.745312	1.626116	0.009449	10.0
82	-1.880571	36.703634	1.627291	0.008969	11.4
83	-1.869178	36.661418	1.628482	0.010497	9.7
84	-1.877940	36.618775	1.629687	0.010111	10.1
85	-1.874991	36.578372	1.630831	0.012721	11.1
86	-1.875944	37.578338	1.602992	0.009958	11.0
87	-1.873239	37.539326	1.604060	0.007359	11.7
88	-1.870244	37.605282	1.602255	0.006400	11.9
89	-1.874800	38.172009	1.586909	0.012957	10.1
90	-1.877383	39.163361	1.560760	0.009944	9.5
91	-1.858587	39.126360	1.561721	0.008623	9.8
92	-1.888135	39.097484	1.562471	0.013272	8.3
93	-1.872108	40.085710	1.537194	0.012064	9.1
94	-1.876258	41.001085	1.514499	0.014909	8.8
95	-1.868435	40.958261	1.515546	0.011157	12.7
96	-1.862239	40.915437	1.516594	0.011991	11.1
97	-1.883859	41.880823	1.493310	0.004901	12.5
98	-1.879485	42.024272	1.489912	0.016041	11.0
99	-1.873679	41.982496	1.490900	0.015729	10.1
100	-1.869462	42.982478	1.467599	0.013189	10.4
101	-1.875179	42.939654	1.468581	0.012381	11.0
102	-1.863941	42.896830	1.469566	0.010511	10.5
103	-1.865153	43.896823	1.446921	0.013828	13.2
104	-1.880467	43.854656	1.447862	0.015490	10.7
105	-1.879679	43.811996	1.448815	0.004844	11.0
106	-1.878432	43.871967	1.447476	0.009496	10.9
107	-1.871092	43.839436	1.448202	0.016631	10.2
108	-1.880678	44.809245	1.426860	0.012575	9.6
109	-1.876917	45.809245	1.405503	0.007113	10.8
110	-1.881025	45.790958	1.405888	0.006682	9.7
111	-1.873482	45.857614	1.404486	0.009727	11.8
112	-1.879436	46.153630	1.398295	0.016074	13.0
113	-1.868694	46.160516	1.398152	0.006798	11.2
114	-1.869364	47.157241	1.377705	0.009608	10.5
115	-1.878915	47.589560	1.369022	0.013579	11.8
116	-1.870131	48.414080	1.352760	0.011931	9.7
117	-1.877806	48.371259	1.353595	0.009036	10.0
118	-1.881532	48.412256	1.352796	0.008562	12.4
119	-1.872869	48.369580	1.353628	0.010119	11.9
120	-1.877668	48.492314	1.351237	0.011585	12.9
121	-1.870952	49.208133	1.337460	0.012314	12.6
122	-1.873747	49.900646	1.324397	0.010605	10.7
123	-1.864567	49.973464	1.323038	0.010015	10.3
124	-1.865393	50.631196	1.310890	0.006224	9.5
125	-1.884748	50.589225	1.311658	0.009301	10.7
126	-1.885007	51.303136	1.298707	0.012333	9.9
127	-1.879631	52.276032	1.281464	0.004526	10.9
128	-1.880276	52.600440	1.275816	0.006920	10.4
129	-1.870363	52.566698	1.276401	0.015630	10.8
130	-1.871864	52.523885	1.277144	0.007046	9.9
131	-1.873625	53.409582	1.261942	0.008861	9.7
132	-1.865369	53.724323	1.256627	0.010588	10.4
133	-1.873750	54.705732	1.240337	0.008754	11.5
134	-1.874444	54.712527	1.240225	0.012290	12.5
135	-1.864525	55.698608	1.224280	0.006372	10.7
136	-1.879272	55.793880	1.222761	0.007434	10.6
137	-1.874730	55.893444	1.221178	0.009978	10.5
138	-1.883429	55.859212	1.221722	0.009130	10.4
139	-1.872747	55.963068	1.220073	0.009126	10.4
140	-1.868848	56.810046	1.206793	0.008155	11.1
141	-1.860582	56.955107	1.204547	0.011196	12.5
142	-1.872636	57.814256	1.191416	0.006017	11.8
143	-1.872626	57.903682	1.190066	0.012321	9.8
144	-1.870533	57.861882	1.190697	0.009516	9.9
145	-1.879650	57.852547	1.190838	0.010198	9.9
146	-1.878015	57.810050	1.191480	0.012068	10.0
147	-1.873317	57.769823	1.192088	0.012691	9.9
148	-1.870691	58.694621	1.178255	0.008460	10.3
149	-1.878631	58.720295	1.177876	0.007148	11.5
150	-1.876963	58.919912	1.174934	0.019851	12.5
151	-1.879145	58.877088	1.175564	0.008696	9.4
152	-1.881281	59.876199	1.161041	0.010252	9.8
153	-1.873306	59.835038	1.161632	0.008449	9.1
154	-1.874872	60.276149	1.155328	0.013605	9.4
155	-1.865553	60.282025	1.155244	0.009620	9.7
156	-1.884855	60.243226	1.155796	0.013080	12.2
157	-1.873513	60.210742	1.156258	0.013428	11.8
158	-1.871480	61.210498	1.142197	0.009274	10.0
159	-1.877397	61.254200	1.141590	0.006958	10.2
160	-1.884232	61.212005	1.142176	0.013545	12.5
161	-1.876232	61.169232	1.142771	0.013655	9.8
162	-1.874812	62.082392	1.130211	0.014340	11.0
163	-1.871974	62.831852	1.120106	0.016474	9.5
164	-1.882209	63.814276	1.107132	0.015198	10.1
165	-1.878489	64.814276	1.094230	0.011882	11.1
166	-1.882924	65.799830	1.081806	0.008468	11.2
167	-1.870266	66.598113	1.071948	0.010559	11.8
168	-1.875865	66.556342	1.072459	0.014796	10.5
169	-1.867537	67.556340	1.060349	0.012814	10.9
170	-1.874534	67.513576	1.060861	0.011269	13.4
171	-1.885595	68.385039	1.050518	0.012867	12.2
172	-1.879034	68.607637	1.047908	0.012468	11.1
173	-1.865284	69.607634	1.036343	0.007529	10.4
174	-1.881338	70.594037	1.025182	0.010435	12.4
175	-1.862105	70.673064	1.024299	0.012786	9.9
176	-1.877880	70.630242	1.024777	0.011732	9.7
177	-1.877449	71.630199	1.013715	0.014096	10.7
178	-1.877647	71.587376	1.014184	0.008022	11.7
179	-1.864978	71.544591	1.014652	0.011507	10.1
180	-1.874724	71.668949	1.013291	0.015670	9.7
181	-1.866375	71.626142	1.013759	0.008491	10.9
182	-1.879409	72.371343	1.005668	0.009666	10.9
183	-1.888298	72.924004	0.999751	0.019428	9.4
184	-1.874103	73.924003	0.989219	0.012983	11.4
185	-1.881037	74.924003	0.978906	0.009218	10.9
186	-1.882104	74.885060	0.979304	0.008920	10.7
187	-1.873002	75.560965	0.972449	0.008964	12.8
