1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.207024	0.000000	4.416073	0.033816	354.2
1	-1.207783	0.000000	4.416073	0.046827	11.6
2	-1.217216	0.987077	4.217820	0.050219	11.8
3	-1.233248	1.987077	4.034333	0.050128	12.1
4	-1.233336	2.987077	3.866145	0.039612	10.4
5	-1.214019	3.987077	3.711420	0.037992	10.5
6	-1.236934	4.987077	3.568602	0.019168	10.6
7	-1.244721	5.089027	3.554656	0.043743	12.6
8	-1.231660	6.089027	3.423435	0.035667	12.1
9	-1.233924	7.089027	3.301557	0.020243	10.2
10	-1.210190	7.005650	3.311386	0.018067	9.7
11	-1.227016	6.922193	3.321284	0.036770	11.0
12	-1.218633	7.922190	3.206449	0.020825	11.9
13	-1.203390	8.920720	3.099442	0.027618	11.8
14	-1.235713	9.811413	3.009843	0.023417	10.6
15	-1.210744	10.811412	2.915228	0.023709	10.2
16	-1.224395	11.811411	2.826380	0.025375	12.5
17	-1.240563	12.811411	2.742788	0.025943	11.3
18	-1.254313	13.811411	2.663998	0.026882	10.9
19	-1.232028	14.811411	2.589608	0.027089	12.1
20	-1.228387	15.811411	2.519260	0.018705	10.0
21	-1.248647	16.811405	2.452634	0.023886	10.2
22	-1.221637	17.811405	2.389440	0.016830	10.5
23	-1.226701	18.733029	2.334016	0.018442	10.6
24	-1.212070	18.658411	2.338408	0.018782	10.1
25	-1.230776	19.651233	2.281297	0.011933	12.5
26	-1.232393	20.639576	2.227149	0.027750	12.3
27	-1.251854	20.556404	2.231606	0.022985	12.1
28	-1.246507	21.555351	2.179221	0.024453	11.1
29	-1.202293	22.543973	2.129744	0.034766	10.0
30	-1.230660	23.543973	2.081932	0.028290	10.2
31	-1.236908	24.543973	2.036219	0.023622	11.5
32	-1.230872	25.543973	1.992471	0.025698	11.1
33	-1.244065	26.543972	1.950563	0.026747	12.0
34	-1.203557	27.543972	1.910382	0.027584	11.8
35	-1.230687	28.543972	1.871823	0.020315	12.3
36	-1.246437	28.471520	1.874564	0.022217	10.1
37	-1.241195	28.395792	1.877438	0.020826	9.3
38	-1.230282	29.378018	1.840833	0.020698	10.4
39	-1.223740	30.377090	1.805037	0.024104	11.0
40	-1.239753	31.377090	1.770574	0.018546	9.7
41	-1.219577	31.293633	1.773400	0.030153	11.6
42	-1.225135	32.293633	1.740124	0.027556	10.8
43	-1.244339	33.293633	1.708074	0.024229	9.9
44	-1.233931	33.764671	1.693382	0.026803	9.5
45	-1.227970	33.681424	1.695960	0.033648	10.3
46	-1.240530	34.681424	1.665502	0.033294	10.5
47	-1.249177	34.597969	1.668002	0.042342	10.0
48	-1.217251	35.597969	1.638531	0.027656	9.6
49	-1.265491	36.597969	1.610083	0.031982	14.0
50	-1.225540	37.597741	1.582613	0.028899	11.0
51	-1.220731	38.597741	1.556058	0.018530	13.5
52	-1.224720	39.597527	1.530385	0.024469	9.5
53	-1.230773	39.523242	1.532263	0.016837	11.1
54	-1.206970	40.523023	1.507363	0.022099	10.5
55	-1.221720	40.439737	1.509406	0.030320	11.9
56	-1.239716	41.439732	1.485233	0.012471	10.5
57	-1.233723	41.439200	1.485245	0.031332	10.3
58	-1.240508	42.438840	1.461841	0.024927	10.7
59	-1.213499	43.435221	1.439237	0.014547	13.2
60	-1.222350	44.204650	1.422253	0.029940	15.2
61	-1.220991	44.121224	1.424075	0.018134	12.1
62	-1.238141	44.049961	1.425635	0.027202	13.5
63	-1.226613	45.049306	1.404065	0.019422	10.6
64	-1.250791	46.049121	1.383128	0.024807	10.8
65	-1.215384	46.199151	1.380040	0.020050	12.0
66	-1.236380	47.198242	1.359823	0.018421	11.4
67	-1.231268	47.114801	1.361489	0.027229	12.2
68	-1.244495	47.377094	1.356266	0.025231	10.8
69	-1.240845	47.293671	1.357923	0.019981	9.8
70	-1.236479	47.210220	1.359584	0.020902	9.2
71	-1.225386	47.810449	1.347724	0.022834	10.1
72	-1.204357	47.726993	1.349361	0.019245	11.7
73	-1.208167	48.713033	1.330275	0.024033	10.9
74	-1.226298	48.629626	1.331869	0.014422	10.7
75	-1.231718	48.550654	1.333381	0.033086	11.5
76	-1.222631	49.512350	1.315195	0.021173	11.2
77	-1.214894	50.481956	1.297356	0.024252	9.9
78	-1.246335	50.402340	1.298802	0.025775	10.3
79	-1.236425	51.402340	1.280864	0.022421	10.1
80	-1.249812	52.402053	1.263419	0.031191	9.9
81	-1.237593	52.318596	1.264857	0.013183	9.7
82	-1.227251	53.318571	1.247838	0.016485	12.6
83	-1.235463	53.235212	1.249239	0.026985	11.2
84	-1.245079	54.220585	1.232874	0.023644	11.1
85	-1.219975	55.194236	1.217120	0.021230	11.1
86	-1.233788	55.142132	1.217953	0.018185	10.4
87	-1.225669	55.058682	1.219289	0.018357	10.6
88	-1.233642	54.976607	1.220606	0.023175	9.7
89	-1.228717	54.893150	1.221949	0.019450	8.7
90	-1.247495	55.466951	1.212779	0.019257	10.1
91	-1.227806	55.383495	1.214104	0.024392	9.7
92	-1.245297	55.413546	1.213627	0.018057	10.4
93	-1.222426	56.412357	1.197968	0.020248	11.2
94	-1.220641	57.412353	1.182690	0.023669	11.8
95	-1.244116	58.412336	1.167797	0.017181	12.3
96	-1.216944	58.365990	1.168479	0.027028	12.2
97	-1.200231	58.288187	1.169626	0.027427	11.9
98	-1.225641	59.288167	1.155058	0.023776	11.9
99	-1.220992	60.260245	1.141241	0.011883	11.5
100	-1.233028	61.172005	1.128578	0.014462	9.3
101	-1.236924	61.200635	1.128185	0.022662	12.0
102	-1.219662	62.143095	1.115397	0.019100	8.6
103	-1.203072	62.824127	1.106335	0.019127	9.1
104	-1.228411	62.740681	1.107437	0.024000	12.3
105	-1.230026	62.659904	1.108506	0.024409	12.8
106	-1.217856	63.657915	1.095438	0.020493	11.2
