1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.897690	0.000000	5.314541	0.076159	353.0
1	-0.928124	0.000000	5.314541	0.077100	12.0
2	-0.959531	0.000000	5.314541	0.079843	13.9
3	-1.016380	0.000000	5.314541	0.081021	11.1
4	-1.032591	0.000000	5.314541	0.084825	11.5
5	-1.063271	0.000000	5.314541	0.086191	10.0
6	-1.120140	0.000000	5.314541	0.089757	9.6
7	-1.168755	0.000000	5.314541	0.091896	10.0
8	-1.199240	0.000000	5.314541	0.092766	10.2
9	-1.266983	0.000000	5.314541	0.097700	10.3
10	-1.309479	0.000000	5.314541	0.097693	13.1
11	-1.350093	0.000000	5.314541	0.103521	11.8
12	-1.416735	0.000000	5.314541	0.105304	11.0
13	-1.465924	0.000000	5.314541	0.107551	12.4
14	-1.523301	0.000000	5.314541	0.112123	8.5
15	-1.614088	0.000000	5.314541	0.104689	10.2
16	-1.657569	0.000000	5.314541	0.100536	11.9
17	-1.728820	0.000000	5.314541	0.084736	11.1
18	-1.739725	0.000000	5.314541	0.067771	9.0
19	-1.762684	0.000000	5.314541	0.050950	10.7
20	-1.783194	0.000000	5.314541	0.039873	9.9
21	-1.784436	0.000000	5.314541	0.026553	9.8
22	-1.805942	0.000000	5.314541	0.024168	13.1
23	-1.785910	0.000000	5.314541	0.018856	8.6
24	-1.816734	0.000000	5.314541	0.015572	10.5
25	-1.804230	0.000000	5.314541	0.013300	10.4
26	-1.776390	0.000000	5.314541	0.012502	10.6
27	-1.805779	0.000000	5.314541	0.011547	12.1
28	-1.798934	0.000000	5.314541	0.010981	10.8
29	-1.800567	0.000000	5.314541	0.010869	10.6
30	-1.807290	0.000000	5.314541	0.011228	10.8
31	-1.804321	0.000000	5.314541	0.009205	10.2
32	-1.799133	0.000000	5.314541	0.010382	10.8
33	-1.786469	0.000000	5.314541	0.010867	9.3
34	-1.813057	0.000000	5.314541	0.010005	10.4
35	-1.799734	0.000000	5.314541	0.010246	10.0
36	-1.796621	0.000000	5.314541	0.010248	11.8
37	-1.811811	0.000000	5.314541	0.010597	9.6
38	-1.805626	0.000000	5.314541	0.009961	10.6
39	-1.802615	0.000000	5.314541	0.010243	9.2
40	-1.804921	0.000000	5.314541	0.010026	10.4
41	-1.796951	0.000000	5.314541	0.009975	9.5
42	-1.806406	0.000000	5.314541	0.009787	9.2
43	-1.804666	0.000000	5.314541	0.009566	13.1
44	-1.803995	0.000000	5.314541	0.009235	10.1
45	-1.804493	0.000000	5.314541	0.009562	9.9
46	-1.796662	0.000000	5.314541	0.008989	12.0
47	-1.784842	0.000000	5.314541	0.009584	9.1
48	-1.797717	0.000000	5.314541	0.009065	8.8
49	-1.795889	0.000000	5.314541	0.008987	9.4
50	-1.805770	0.000000	5.314541	0.009980	11.3
51	-1.785354	0.000000	5.314541	0.009034	11.7
52	-1.798064	0.000000	5.314541	0.008634	10.6
53	-1.799786	0.000000	5.314541	0.008467	9.9
54	-1.801610	0.000000	5.314541	0.008735	11.7
55	-1.797259	0.000000	5.314541	0.009548	10.1
56	-1.796266	0.000000	5.314541	0.008770	11.4
57	-1.805086	0.000000	5.314541	0.009453	10.2
58	-1.800123	0.000000	5.314541	0.008363	9.4
59	-1.807559	0.000000	5.314541	0.009133	9.7
60	-1.791204	0.000000	5.314541	0.008516	9.5
61	-1.793529	0.000000	5.314541	0.008748	10.2
62	-1.803699	0.000000	5.314541	0.008014	10.2
63	-1.813164	0.000000	5.314541	0.008165	14.0
64	-1.798165	0.000000	5.314541	0.008118	10.0
65	-1.801688	0.000000	5.314541	0.008217	9.7
66	-1.802060	0.000000	5.314541	0.009144	10.9
67	-1.798751	0.000000	5.314541	0.008967	10.9
68	-1.795447	0.000000	5.314541	0.008327	10.4
69	-1.794689	0.000000	5.314541	0.008398	11.3
70	-1.800765	0.000000	5.314541	0.009288	12.0
71	-1.803005	0.000000	5.314541	0.008054	10.6
72	-1.800297	0.000000	5.314541	0.009076	12.5
73	-1.807139	0.000000	5.314541	0.007659	10.8
74	-1.812572	0.000000	5.314541	0.007544	13.0
75	-1.798163	0.000000	5.314541	0.008149	13.6
76	-1.791821	0.000000	5.314541	0.009205	11.7
77	-1.779302	0.000000	5.314541	0.008328	9.6
78	-1.804084	0.000000	5.314541	0.008219	9.9
79	-1.811694	0.000000	5.314541	0.007087	9.5
80	-1.786060	0.000000	5.314541	0.008568	9.3
81	-1.804456	0.000000	5.314541	0.007328	11.0
82	-1.781225	0.000000	5.314541	0.007598	10.4
83	-1.788377	0.000000	5.314541	0.007831	9.7
84	-1.804648	0.000000	5.314541	0.008001	9.3
85	-1.798135	0.000000	5.314541	0.008404	8.5
86	-1.790824	0.000000	5.314541	0.007543	9.8
87	-1.797880	0.000000	5.314541	0.007423	10.1
88	-1.781576	0.000000	5.314541	0.008020	10.2
89	-1.784778	0.000000	5.314541	0.008028	10.1
90	-1.791861	0.000000	5.314541	0.007111	12.2
91	-1.781905	0.000000	5.314541	0.008120	9.7
92	-1.794953	0.000000	5.314541	0.008036	11.5
93	-1.792428	0.000000	5.314541	0.008541	10.4
94	-1.784951	0.000000	5.314541	0.007370	10.3
95	-1.789219	0.000000	5.314541	0.007895	12.1
96	-1.802323	0.000000	5.314541	0.007055	12.6
97	-1.795737	0.000000	5.314541	0.007913	10.7
98	-1.787269	0.000000	5.314541	0.007370	10.2
99	-1.799905	0.000000	5.314541	0.007037	12.6
100	-1.786672	0.000000	5.314541	0.007552	9.4
101	-1.779819	0.000000	5.314541	0.007962	8.5
102	-1.785195	0.000000	5.314541	0.007676	9.2
103	-1.763669	0.000000	5.314541	0.007453	8.5
104	-1.798880	0.000000	5.314541	0.006411	10.3
105	-1.780406	0.000000	5.314541	0.007548	12.8
106	-1.784904	0.000000	5.314541	0.007011	13.1
107	-1.794057	0.000000	5.314541	0.008258	11.5
108	-1.777852	0.000000	5.314541	0.007253	10.8
109	-1.776766	0.000000	5.314541	0.008207	11.2
110	-1.777051	0.000000	5.314541	0.007877	11.7
111	-1.783002	0.000000	5.314541	0.006592	10.7
112	-1.774918	0.000000	5.314541	0.006770	10.9
113	-1.768371	0.000000	5.314541	0.008414	10.8
114	-1.771070	0.000000	5.314541	0.007674	11.9
115	-1.786423	0.000000	5.314541	0.006312	10.9
116	-1.779079	0.000000	5.314541	0.006658	11.4
117	-1.778458	0.000000	5.314541	0.006512	10.6
118	-1.780052	0.000000	5.314541	0.006784	10.1
119	-1.776882	0.000000	5.314541	0.007654	9.9
120	-1.776372	0.000000	5.314541	0.007301	9.8
121	-1.781894	0.000000	5.314541	0.007738	11.6
122	-1.792785	0.000000	5.314541	0.006322	9.1
123	-1.766134	0.000000	5.314541	0.007108	9.2
124	-1.769797	0.000000	5.314541	0.007319	9.7
125	-1.769190	0.000000	5.314541	0.007441	9.7
126	-1.762453	0.000000	5.314541	0.007363	9.1
