1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.132755	0.000000	4.169156	0.021805	358.3
1	-1.138709	0.000000	4.169156	0.041046	10.2
2	-1.141008	0.999119	3.979808	0.036753	10.1
3	-1.152105	1.999119	3.806767	0.035148	10.1
4	-1.125607	2.999105	3.648148	0.025055	10.7
5	-1.142401	3.999090	3.502219	0.034343	11.1
6	-1.139055	4.993427	3.368247	0.035205	11.2
7	-1.140352	5.993427	3.243467	0.032623	12.0
8	-1.141252	6.993408	3.127603	0.026906	11.0
9	-1.114111	7.019504	3.124690	0.034055	13.0
10	-1.142823	8.019502	3.017015	0.026773	10.4
11	-1.123624	7.900835	3.029403	0.034469	12.3
12	-1.117242	8.898515	2.928315	0.030650	12.9
13	-1.145737	8.779730	2.939996	0.030091	11.3
14	-1.126854	9.779603	2.844490	0.031399	10.6
15	-1.127452	10.779603	2.754983	0.033632	9.3
16	-1.142706	11.779603	2.670938	0.030564	8.9
17	-1.123167	11.660809	2.680652	0.028823	10.5
18	-1.140397	12.660809	2.601015	0.035222	11.4
19	-1.134329	12.542016	2.610227	0.036677	8.5
20	-1.150400	13.542016	2.534660	0.029008	10.7
21	-1.143178	14.542016	2.463346	0.024096	9.8
22	-1.136041	15.540182	2.396055	0.023521	9.3
23	-1.139913	15.422671	2.403785	0.030594	10.5
24	-1.128537	16.420577	2.339683	0.026827	9.9
25	-1.139635	17.299473	2.285992	0.016382	9.6
26	-1.145153	17.317548	2.284913	0.020233	9.4
27	-1.146909	17.260094	2.288345	0.033086	10.6
28	-1.135222	18.260094	2.230058	0.027102	10.1
29	-1.147004	18.143190	2.236718	0.041810	10.8
30	-1.148562	19.143190	2.180999	0.029228	11.7
31	-1.140883	20.143190	2.127990	0.033638	10.1
32	-1.137495	20.024716	2.134135	0.031257	10.1
33	-1.146430	19.905923	2.140333	0.027402	12.9
34	-1.135185	20.905923	2.089258	0.017144	9.6
35	-1.159578	21.895882	2.041042	0.028071	10.8
36	-1.163477	22.336604	2.020285	0.020639	12.1
37	-1.129042	22.217954	2.025831	0.030091	12.0
38	-1.144737	22.537156	2.010978	0.026982	11.8
39	-1.133552	22.418554	2.016472	0.031977	10.8
40	-1.131554	23.418542	1.971075	0.027749	11.1
41	-1.170183	23.351079	1.974073	0.031092	11.9
42	-1.148120	23.401044	1.971852	0.039094	10.4
43	-1.142309	24.401044	1.928420	0.018148	10.9
44	-1.138174	24.819348	1.910815	0.039351	12.8
