1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.406573	0.000000	5.635650	0.064459	354.4
1	-1.439964	0.000000	5.635650	0.042204	11.2
2	-1.432176	0.000000	5.635650	0.024821	10.9
3	-1.440729	0.000000	5.635650	0.020002	13.2
4	-1.428487	0.000000	5.635650	0.019799	12.7
5	-1.455075	0.000000	5.635650	0.026118	10.2
6	-1.461196	0.000000	5.635650	0.025966	13.8
7	-1.449744	1.000000	5.379484	0.016970	12.0
8	-1.454465	2.000000	5.145594	0.017882	11.3
9	-1.448724	3.000000	4.931194	0.019467	10.4
10	-1.442508	4.000000	4.733946	0.016983	11.0
11	-1.436096	4.933313	4.563577	0.011450	11.9
12	-1.433050	5.933312	4.394137	0.012020	11.1
13	-1.449642	6.310711	4.333415	0.010504	10.7
14	-1.438729	6.273384	4.339346	0.012308	10.4
15	-1.447865	7.273384	4.185868	0.010390	9.4
16	-1.443243	7.698787	4.123821	0.015537	10.2
17	-1.454707	8.433380	4.020899	0.013451	10.6
18	-1.440522	8.637944	3.993147	0.014081	11.0
19	-1.452826	8.595925	3.998816	0.013617	10.5
20	-1.452048	9.595925	3.868118	0.017541	12.0
21	-1.446312	10.595925	3.745694	0.016396	12.7
22	-1.447605	11.595921	3.630781	0.014140	10.5
23	-1.441312	12.595921	3.522709	0.006195	11.2
24	-1.447828	13.595284	3.420948	0.017397	12.4
25	-1.431598	14.583928	3.325902	0.015543	10.7
26	-1.450749	15.583928	3.234990	0.010731	10.1
27	-1.438049	15.541907	3.238710	0.009783	11.6
28	-1.445221	15.880265	3.208997	0.010782	10.6
29	-1.449248	15.852962	3.211374	0.011829	11.4
30	-1.438634	16.852294	3.126591	0.011196	11.9
31	-1.429810	17.852058	3.046136	0.006187	11.4
32	-1.455212	17.810043	3.049434	0.012629	12.6
33	-1.457529	18.620076	2.987088	0.016007	10.9
34	-1.451517	19.620072	2.913551	0.011457	11.0
35	-1.434499	20.620072	2.843548	0.011019	11.9
36	-1.445360	21.617486	2.776998	0.008666	11.0
37	-1.451778	21.589507	2.778822	0.008327	14.4
38	-1.441865	21.634743	2.775874	0.012367	12.6
39	-1.436445	22.028880	2.750447	0.008057	11.4
40	-1.433371	23.025255	2.688199	0.010280	11.4
41	-1.434846	23.064122	2.685828	0.011417	10.1
42	-1.451866	24.057326	2.626624	0.011836	10.3
43	-1.444982	24.778925	2.585221	0.014732	11.1
44	-1.441443	25.778695	2.529969	0.014057	10.5
45	-1.444794	26.778691	2.477018	0.013346	10.4
46	-1.453190	27.778691	2.426237	0.013758	11.0
47	-1.436058	28.637714	2.384249	0.011426	10.8
48	-1.434188	28.599449	2.386088	0.016365	10.4
49	-1.454223	29.358203	2.350137	0.009923	12.7
50	-1.438607	30.358203	2.304377	0.008041	11.2
51	-1.448222	31.358184	2.260366	0.011489	9.9
52	-1.434240	32.076251	2.229786	0.009299	10.5
53	-1.436103	32.234248	2.223168	0.008303	9.9
54	-1.443802	32.193954	2.224852	0.010293	10.1
55	-1.460943	33.183239	2.184230	0.011338	9.7
56	-1.452903	34.175694	2.144942	0.008000	9.5
57	-1.437576	34.134567	2.146542	0.012271	10.3
58	-1.451030	35.030471	2.112220	0.016019	10.9
59	-1.452844	36.030471	2.075183	0.006242	12.8
60	-1.429799	35.988484	2.076712	0.012576	10.4
61	-1.441617	36.218054	2.068380	0.014908	10.5
62	-1.467073	36.176033	2.069900	0.010945	11.5
63	-1.451430	37.176033	2.034320	0.014150	11.5
64	-1.451346	37.138853	2.035621	0.014988	12.4
65	-1.447427	38.138853	2.001200	0.008356	11.6
66	-1.437026	39.138849	1.967924	0.009709	10.6
67	-1.450531	39.129251	1.968238	0.008123	10.3
68	-1.437238	40.087860	1.937352	0.011590	10.5
69	-1.451348	40.164425	1.934926	0.011316	11.2
70	-1.460189	41.163207	1.903838	0.010591	13.1
71	-1.436549	41.347821	1.898200	0.011137	12.5
72	-1.440537	42.347819	1.868236	0.008410	10.1
73	-1.450254	42.527046	1.862965	0.012233	9.7
74	-1.446391	43.518115	1.834348	0.009083	9.2
75	-1.451602	43.479126	1.835457	0.008776	11.7
76	-1.457561	43.464608	1.835870	0.016474	10.4
77	-1.436408	44.464608	1.807827	0.012447	10.0
78	-1.443609	44.422601	1.808987	0.014020	11.6
79	-1.428608	45.421946	1.781770	0.013463	10.6
80	-1.435393	46.421946	1.755343	0.015086	10.0
81	-1.448436	47.421946	1.729689	0.011990	10.8
82	-1.435915	48.421946	1.704773	0.010328	13.1
83	-1.445795	49.417734	1.680666	0.011537	13.4
84	-1.451426	49.375714	1.681669	0.014487	11.3
85	-1.463298	50.234630	1.661392	0.011102	11.6
86	-1.456274	51.234630	1.638392	0.010221	11.3
87	-1.443010	51.192615	1.639346	0.014566	10.2
88	-1.459542	51.911204	1.623189	0.015538	9.9
89	-1.446143	52.075414	1.619541	0.008534	11.9
90	-1.429656	52.343689	1.613617	0.008535	11.6
91	-1.442514	52.303567	1.614501	0.005782	14.4
92	-1.456729	52.273300	1.615168	0.012703	10.5
93	-1.443804	52.231473	1.616090	0.010133	9.9
94	-1.437213	53.231464	1.594319	0.010998	10.8
95	-1.448668	53.194833	1.595106	0.010987	9.8
96	-1.462301	54.141245	1.575016	0.012628	9.5
97	-1.458411	55.043111	1.556336	0.006497	10.6
98	-1.447827	55.002443	1.557169	0.019983	10.4
99	-1.439385	55.014544	1.556921	0.009683	9.2
100	-1.455950	54.972582	1.557781	0.010746	9.6
101	-1.445419	55.971410	1.537566	0.009681	10.5
102	-1.446973	56.907832	1.519085	0.012842	9.4
103	-1.455245	57.801394	1.501860	0.011932	10.3
104	-1.438076	57.760276	1.502644	0.011409	10.3
105	-1.458942	57.718892	1.503434	0.015776	10.2
106	-1.445960	58.718892	1.484575	0.012007	11.5
107	-1.445023	58.676871	1.485358	0.012371	10.3
108	-1.449969	59.676695	1.466950	0.011765	12.4
109	-1.443506	59.635295	1.467703	0.006343	11.2
110	-1.454448	59.595691	1.468424	0.007680	11.4
111	-1.445958	59.554603	1.469173	0.010525	10.1
112	-1.455362	60.442821	1.453150	0.015368	11.2
113	-1.445938	61.442821	1.435524	0.015347	10.6
114	-1.443549	62.442821	1.418320	0.009668	10.8
115	-1.442429	63.442815	1.401524	0.010498	10.6
116	-1.455038	64.442808	1.385121	0.009834	11.6
117	-1.450705	65.442778	1.369098	0.011621	10.5
118	-1.448315	65.413221	1.369567	0.010797	11.0
119	-1.440804	66.413135	1.353900	0.008328	11.1
