1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.194698	0.000000	7.400315	0.038046	358.8
1	-1.215664	0.000000	7.400315	0.027000	11.8
2	-1.200484	0.000000	7.400315	0.023223	11.5
3	-1.200451	0.000000	7.400315	0.024157	10.8
4	-1.189309	0.000000	7.400315	0.015782	9.5
5	-1.198239	0.000000	7.400315	0.012737	9.0
6	-1.198438	0.000000	7.400315	0.021735	10.4
7	-1.209417	0.000000	7.400315	0.019169	10.6
8	-1.202142	1.000000	7.063937	0.016562	12.1
9	-1.209948	2.000000	6.756810	0.013798	10.9
10	-1.205910	2.999964	6.475286	0.010434	10.3
11	-1.205796	3.108073	6.446248	0.017225	10.7
12	-1.215721	4.071415	6.198558	0.012415	12.1
13	-1.206449	5.071213	5.960851	0.016983	11.3
14	-1.207778	5.018071	5.973026	0.020628	11.9
15	-1.191045	6.018071	5.751951	0.013432	12.5
16	-1.205189	7.018071	5.546657	0.010682	9.1
17	-1.195379	6.949492	5.560266	0.017013	9.7
18	-1.193708	7.948716	5.368342	0.015645	10.1
19	-1.203031	8.948712	5.189092	0.014489	10.2
20	-1.188674	9.948712	5.021425	0.015610	10.1
21	-1.210808	10.948712	4.864253	0.008237	9.6
22	-1.208252	10.881901	4.874446	0.009818	10.8
23	-1.205273	11.852397	4.730450	0.010323	10.9
24	-1.224173	12.852394	4.590713	0.014179	10.1
25	-1.205560	13.792679	4.466647	0.011168	9.1
26	-1.195144	14.792679	4.341855	0.010588	8.9
27	-1.196490	14.721515	4.350505	0.011556	8.7
28	-1.202733	14.790267	4.342148	0.013629	9.5
29	-1.194260	15.690393	4.235622	0.009427	11.4
30	-1.182454	16.690365	4.123245	0.011822	9.9
31	-1.215307	16.619202	4.131045	0.016091	10.7
32	-1.181577	17.619202	4.024077	0.010532	11.5
33	-1.212237	18.619202	3.922508	0.010914	10.3
34	-1.217983	19.619175	3.825942	0.017174	10.0
35	-1.211756	20.619175	3.734015	0.011181	10.9
36	-1.203382	21.619173	3.646402	0.013975	10.8
37	-1.208812	22.419176	3.579216	0.010450	10.1
38	-1.210912	22.359835	3.584115	0.008374	12.3
39	-1.202352	23.346100	3.504403	0.013387	11.9
