1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.686908	0.000000	3.299030	0.120376	344.4
1	-1.730205	0.000000	3.299030	0.079602	10.5
2	-1.728271	0.000000	3.299030	0.057688	9.9
3	-1.740681	0.000000	3.299030	0.038345	10.6
4	-1.737330	0.000000	3.299030	0.023402	9.4
5	-1.754144	0.000000	3.299030	0.024514	9.4
6	-1.752888	0.000000	3.299030	0.021291	9.8
7	-1.752119	0.000000	3.299030	0.019406	9.1
8	-1.757175	0.000000	3.299030	0.017836	9.8
9	-1.760105	0.000000	3.299030	0.014376	10.1
10	-1.757141	0.000000	3.299030	0.017236	11.0
11	-1.754381	0.000000	3.299030	0.011894	12.8
12	-1.757041	0.000000	3.299030	0.013322	11.3
13	-1.755339	0.000000	3.299030	0.010821	10.6
14	-1.759725	0.000000	3.299030	0.013467	10.6
15	-1.761986	0.000000	3.299030	0.013047	9.8
16	-1.773496	0.000000	3.299030	0.012250	9.2
17	-1.769306	0.000000	3.299030	0.016543	9.3
18	-1.759551	0.000000	3.299030	0.009857	9.7
19	-1.777754	0.000000	3.299030	0.016415	9.7
20	-1.755114	0.000000	3.299030	0.016822	10.0
21	-1.767502	0.917552	3.160920	0.012313	9.8
22	-1.753907	0.893178	3.164440	0.011510	10.0
23	-1.757936	0.874626	3.167123	0.014882	9.7
24	-1.756287	0.850566	3.170611	0.014391	10.9
25	-1.761471	0.826190	3.174152	0.013465	10.9
26	-1.770076	1.597584	3.065798	0.013656	9.7
27	-1.770835	1.576241	3.068697	0.011478	11.4
28	-1.756160	1.551866	3.072014	0.010045	12.5
29	-1.769177	1.527492	3.075337	0.012143	11.8
30	-1.765945	1.503117	3.078669	0.013245	10.4
31	-1.764049	1.535187	3.074287	0.009942	10.0
32	-1.763512	1.510820	3.077615	0.013062	10.4
33	-1.755722	1.486449	3.080951	0.014670	13.0
34	-1.756641	2.466738	2.952248	0.013397	10.3
35	-1.766642	2.442836	2.955258	0.008527	9.2
36	-1.770906	2.418462	2.958334	0.014936	9.8
37	-1.764835	2.396476	2.961114	0.013132	10.0
38	-1.766382	2.372147	2.964197	0.010863	9.7
39	-1.770235	2.778134	2.913586	0.011479	9.1
40	-1.774648	2.753770	2.916574	0.015696	8.5
41	-1.774388	2.729408	2.919569	0.009524	8.8
42	-1.765712	2.810326	2.909647	0.009844	9.5
43	-1.751756	2.786050	2.912616	0.017594	9.0
44	-1.762963	2.874929	2.901774	0.013071	10.2
45	-1.749775	3.057824	2.879713	0.013176	10.2
46	-1.760660	3.033635	2.882612	0.021401	9.6
47	-1.767781	4.033400	2.767488	0.007308	9.2
48	-1.770258	4.009024	2.770186	0.016540	10.0
49	-1.766849	3.987166	2.772609	0.012988	12.7
50	-1.776600	4.987161	2.665918	0.014779	10.7
51	-1.771524	4.962799	2.668419	0.012788	11.7
52	-1.759521	5.589289	2.605547	0.010505	10.3
53	-1.767109	5.633003	2.601270	0.014747	12.5
54	-1.769336	5.608653	2.603651	0.007886	12.1
55	-1.775550	5.692344	2.595487	0.007789	12.0
56	-1.773883	5.668545	2.597803	0.010359	11.7
57	-1.772485	5.644186	2.600178	0.009436	11.1
58	-1.760117	5.619811	2.602559	0.009208	11.4
59	-1.772275	5.625997	2.601955	0.015953	11.3
60	-1.767737	5.607572	2.603756	0.013919	10.4
61	-1.764645	6.565149	2.513305	0.018643	10.5
62	-1.758695	7.562649	2.425533	0.013167	11.1
63	-1.774117	8.562647	2.343486	0.013363	10.7
64	-1.767600	9.403880	2.278645	0.015425	10.1
65	-1.758270	9.379504	2.280473	0.010644	11.2
66	-1.760771	9.366140	2.281477	0.011792	10.8
67	-1.764241	9.353096	2.282457	0.010227	11.8
68	-1.756673	9.381882	2.280294	0.011907	12.8
69	-1.761736	9.357507	2.282125	0.010628	11.2
70	-1.761945	9.333137	2.283959	0.016549	12.4
71	-1.765580	10.329841	2.211299	0.018380	10.9
72	-1.761975	11.328967	2.142959	0.011406	9.6
73	-1.761727	12.328747	2.078675	0.008077	10.0
74	-1.769680	12.316530	2.079437	0.013222	10.7
75	-1.773973	12.292157	2.080960	0.011591	13.8
76	-1.771519	13.291206	2.020332	0.008890	11.4
77	-1.771170	13.266830	2.021770	0.010223	11.7
78	-1.768877	14.076217	1.975117	0.013570	11.1
79	-1.770896	14.051888	1.976488	0.009880	11.2
80	-1.761873	14.890621	1.930299	0.015217	9.7
81	-1.776093	14.868887	1.931469	0.014955	8.7
82	-1.785029	14.951308	1.927041	0.010001	9.0
83	-1.764286	14.926934	1.928348	0.008675	9.0
84	-1.769115	14.904124	1.929573	0.011268	8.3
85	-1.766867	14.879777	1.930883	0.010319	9.5
86	-1.759719	14.867487	1.931544	0.008337	9.8
87	-1.769699	14.847636	1.932614	0.012787	10.2
88	-1.758112	14.825688	1.933798	0.014657	12.4
89	-1.758555	15.377088	1.904486	0.011782	13.9
90	-1.763734	15.366639	1.905033	0.014974	11.8
91	-1.761517	15.342280	1.906310	0.008361	10.8
92	-1.769129	15.317936	1.907587	0.013008	10.5
93	-1.773605	15.293751	1.908859	0.009160	9.6
94	-1.759433	15.270018	1.910108	0.011633	11.4
95	-1.761452	15.441681	1.901110	0.011114	12.1
96	-1.765172	15.418258	1.902333	0.007970	11.8
97	-1.774173	15.397701	1.903407	0.011429	11.1
98	-1.775289	15.444142	1.900981	0.009647	10.2
99	-1.765884	15.423219	1.902073	0.018027	11.1
100	-1.755475	15.449196	1.900718	0.014244	10.2
101	-1.770862	16.449196	1.849963	0.013772	9.8
102	-1.757736	16.424821	1.851168	0.011266	11.4
103	-1.764564	17.424776	1.802994	0.010324	9.9
104	-1.762343	17.400404	1.804138	0.010654	10.5
105	-1.765853	17.376029	1.805284	0.009786	10.8
106	-1.774579	18.363523	1.759996	0.010525	9.6
107	-1.772283	18.339188	1.761085	0.016825	10.6
108	-1.781463	18.333390	1.761344	0.008739	12.6
109	-1.764910	18.309018	1.762436	0.008948	12.3
110	-1.766915	18.284948	1.763516	0.012466	11.5
111	-1.762543	18.260592	1.764610	0.009891	12.3
112	-1.772173	18.744191	1.743139	0.014371	11.1
113	-1.755437	18.719817	1.744208	0.008243	12.2
114	-1.762172	19.444950	1.712937	0.009852	12.2
115	-1.780326	19.484894	1.711247	0.008121	9.0
116	-1.766430	19.786689	1.698584	0.011238	11.1
117	-1.775569	19.762359	1.699598	0.009890	11.4
118	-1.768067	19.744974	1.700323	0.009810	11.2
119	-1.770068	19.760723	1.699667	0.014761	10.1
120	-1.758447	19.743007	1.700406	0.012213	10.7
121	-1.769389	19.718647	1.701423	0.014505	9.7
122	-1.770767	20.718512	1.660645	0.010085	10.0
123	-1.760710	20.694194	1.661614	0.010306	11.0
124	-1.763618	20.848833	1.655474	0.012869	11.7
125	-1.777224	21.826775	1.617671	0.012127	12.3
126	-1.779838	21.809860	1.618310	0.018758	10.2
127	-1.777495	22.042514	1.609563	0.008827	10.8
128	-1.769697	22.018139	1.610475	0.008258	11.0
129	-1.766341	22.072676	1.608436	0.009780	10.2
130	-1.767227	22.048301	1.609347	0.013248	11.2
131	-1.767201	23.048052	1.572820	0.010608	10.6
132	-1.758731	24.036958	1.538284	0.014048	10.2
133	-1.766026	24.948537	1.507766	0.010377	11.5
134	-1.765341	25.948326	1.475657	0.009168	9.8
135	-1.766492	25.931866	1.476175	0.006850	10.8
136	-1.755749	25.907499	1.476942	0.012856	9.9
137	-1.768527	25.883594	1.477695	0.009757	8.3
138	-1.770819	25.874232	1.477990	0.011502	9.4
139	-1.760887	25.849906	1.478757	0.008102	9.1
140	-1.763807	26.154869	1.469194	0.008362	10.3
141	-1.751509	26.320359	1.464056	0.009533	8.6
142	-1.769079	26.296431	1.464796	0.006875	10.5
143	-1.763485	26.272185	1.465548	0.011956	11.3
144	-1.759981	27.265117	1.435398	0.013638	13.3
145	-1.778916	28.261055	1.406377	0.010996	11.7
146	-1.769235	28.308149	1.405034	0.011664	11.0
147	-1.761355	29.253952	1.378591	0.009618	10.6
148	-1.774790	29.229605	1.379259	0.011844	10.8
149	-1.772905	29.205231	1.379929	0.011730	9.5
150	-1.778277	30.205120	1.352983	0.010496	9.5
151	-1.765392	30.180786	1.353626	0.012980	10.4
152	-1.762755	30.158758	1.354209	0.015619	12.0
153	-1.768458	31.158756	1.328246	0.014456	11.0
154	-1.760182	31.134381	1.328867	0.010139	10.2
155	-1.758444	31.213377	1.326856	0.009233	10.0
156	-1.781724	31.286030	1.325012	0.009942	9.8
157	-1.768912	31.261902	1.325624	0.014091	10.8
158	-1.753421	31.237534	1.326243	0.007547	9.7
159	-1.773512	31.213167	1.326861	0.012734	10.2
160	-1.766201	31.188792	1.327481	0.010352	11.0
161	-1.766128	32.188648	1.302527	0.018718	10.5
162	-1.767333	32.213443	1.301920	0.010855	11.6
163	-1.763162	33.213239	1.277910	0.014381	11.0
164	-1.758739	33.966043	1.260408	0.015419	11.1
165	-1.776842	34.534988	1.247495	0.012119	10.2
166	-1.770739	35.388926	1.228604	0.011513	9.7
167	-1.768163	36.388923	1.207195	0.014242	9.8
168	-1.752202	36.364861	1.207702	0.007908	9.5
169	-1.773659	36.887892	1.196790	0.010042	10.4
170	-1.770013	36.869565	1.197169	0.007439	11.1
171	-1.770217	37.688767	1.180458	0.010742	11.8
172	-1.781806	37.685625	1.180521	0.007825	11.6
173	-1.766149	37.795670	1.178312	0.009829	10.2
174	-1.770867	37.771773	1.178791	0.010402	9.2
175	-1.749655	37.835558	1.177513	0.008990	10.9
176	-1.767407	37.811337	1.177998	0.013907	10.5
177	-1.770544	37.802261	1.178180	0.009017	10.3
178	-1.776129	37.777886	1.178668	0.011384	10.7
179	-1.768967	38.595714	1.162494	0.014461	9.2
180	-1.756419	38.575720	1.162884	0.009540	9.2
181	-1.762286	39.471194	1.145663	0.009776	8.7
182	-1.773707	39.449554	1.146074	0.009427	10.8
183	-1.774913	39.433433	1.146379	0.015719	9.0
184	-1.761270	39.409057	1.146842	0.014362	9.8
185	-1.773964	40.408986	1.128168	0.008955	9.6
186	-1.780436	40.389575	1.128524	0.009319	9.1
187	-1.768686	40.365562	1.128966	0.012429	10.2
188	-1.768611	40.341599	1.129407	0.008100	10.7
189	-1.774538	41.322712	1.111627	0.007835	11.3
190	-1.778444	42.280710	1.094799	0.012887	11.0
191	-1.763750	42.519173	1.090689	0.007615	11.7
192	-1.777658	43.227623	1.078658	0.012646	11.3
193	-1.769624	43.278026	1.077812	0.011415	11.9
194	-1.765656	44.278025	1.061301	0.010011	10.2
195	-1.766453	44.253736	1.061696	0.007408	9.7
196	-1.751119	44.558743	1.056757	0.013000	10.9
197	-1.764228	44.534375	1.057150	0.013026	9.7
198	-1.780600	45.534375	1.041261	0.007887	10.9
199	-1.767950	45.670792	1.039130	0.010697	9.7
200	-1.765766	46.497458	1.026404	0.014442	9.9
201	-1.766775	47.492683	1.011490	0.011645	9.4
202	-1.756064	48.355834	0.998901	0.007087	10.9
203	-1.759253	48.335454	0.999195	0.006737	9.9
204	-1.765056	48.311240	0.999544	0.013465	10.0
205	-1.760638	48.318340	0.999442	0.005703	10.1
206	-1.764521	48.569262	0.995837	0.010950	12.9
207	-1.773066	48.545869	0.996172	0.013806	14.5
208	-1.765101	49.538507	0.982153	0.011087	13.0
209	-1.771041	49.514138	0.982493	0.008669	12.1
210	-1.771775	49.491452	0.982809	0.009367	11.7
211	-1.771201	50.090732	0.974524	0.009153	11.7
212	-1.764166	50.066359	0.974858	0.011128	9.5
213	-1.768283	50.727391	0.965874	0.010753	9.1
214	-1.767828	50.703015	0.966203	0.011921	8.3
215	-1.775955	50.678640	0.966531	0.019066	9.1
216	-1.767390	50.654264	0.966860	0.011880	9.3
217	-1.759676	51.604860	0.954201	0.011664	9.6
218	-1.765365	52.548933	0.941953	0.015606	9.9
219	-1.779458	52.524558	0.942265	0.014261	11.9
220	-1.769560	52.529306	0.942204	0.009227	10.5
221	-1.764650	52.505283	0.942512	0.014489	11.4
222	-1.767693	52.484947	0.942773	0.013354	10.2
223	-1.778948	53.484006	0.930128	0.009154	9.9
224	-1.766599	53.459630	0.930432	0.008371	10.0
225	-1.765133	53.435571	0.930733	0.007449	11.8
226	-1.770777	53.411227	0.931037	0.013907	13.7
227	-1.755631	54.411177	0.918692	0.013005	12.3
228	-1.765204	54.386802	0.918989	0.011014	9.8
229	-1.765994	55.386800	0.906958	0.011437	10.8
230	-1.764136	56.310648	0.896120	0.010882	10.5
231	-1.764452	56.287030	0.896394	0.012060	10.6
232	-1.768726	56.262661	0.896677	0.007566	11.6
233	-1.769332	57.258310	0.885269	0.008142	11.4
234	-1.771495	57.283640	0.884982	0.011900	11.1
235	-1.764447	57.259977	0.885250	0.010954	10.0
236	-1.769771	57.258925	0.885262	0.009766	9.7
237	-1.764454	57.234551	0.885538	0.012038	12.4
238	-1.782884	58.232672	0.874382	0.008736	10.8
239	-1.760449	58.208465	0.874649	0.011540	9.5
240	-1.772543	58.283983	0.873816	0.014229	10.5
241	-1.776239	59.274918	0.863030	0.014283	13.3
242	-1.767686	60.274917	0.852411	0.008404	10.1
243	-1.765721	60.250621	0.852666	0.012194	11.1
244	-1.773193	61.249367	0.842312	0.007932	12.4
245	-1.768226	61.372625	0.841052	0.011601	10.9
246	-1.764184	61.348324	0.841300	0.010786	11.2
247	-1.777236	61.330354	0.841484	0.008629	13.2
248	-1.770204	61.703062	0.837691	0.006742	11.8
249	-1.765979	61.782748	0.836885	0.008546	12.3
250	-1.768655	61.791103	0.836801	0.005857	12.3
251	-1.754869	61.815842	0.836551	0.010955	10.4
252	-1.766163	61.946894	0.835229	0.010773	10.5
253	-1.769703	62.945125	0.825297	0.012111	10.8
254	-1.771799	63.944083	0.815591	0.010735	11.5
255	-1.769217	64.934431	0.806192	0.012335	12.4
256	-1.767704	64.910056	0.806421	0.009906	12.2
257	-1.776368	65.378496	0.802047	0.010955	11.1
258	-1.782709	65.354140	0.802273	0.010618	10.0
259	-1.776602	66.351725	0.793111	0.007524	10.2
260	-1.764668	66.357577	0.793058	0.008451	9.4
261	-1.763897	67.209588	0.785398	0.011176	10.7
262	-1.769012	67.509835	0.782734	0.011004	12.5
263	-1.760323	68.372264	0.775181	0.006722	11.6
264	-1.753426	68.348362	0.775388	0.006923	11.8
265	-1.760062	68.364174	0.775251	0.006548	11.6
266	-1.755892	68.504901	0.774032	0.006760	11.4
267	-1.764190	68.488133	0.774177	0.007617	11.1
268	-1.765098	68.465557	0.774372	0.012068	9.8
269	-1.779133	68.583270	0.773355	0.007449	12.1
270	-1.765317	68.559265	0.773562	0.007738	10.8
271	-1.747854	68.543653	0.773697	0.008375	10.6
272	-1.781663	68.524680	0.773861	0.006585	10.5
273	-1.770564	68.519527	0.773905	0.010747	10.7
274	-1.778312	69.173332	0.768294	0.006744	11.5
275	-1.758296	69.150509	0.768489	0.008997	12.1
276	-1.763689	69.948190	0.761748	0.010920	11.5
277	-1.765642	70.943368	0.753503	0.011925	10.4
278	-1.771925	71.018724	0.752886	0.012734	10.5
279	-1.770598	71.002583	0.753018	0.008637	10.3
280	-1.766045	72.001180	0.744933	0.006819	10.2
281	-1.771947	71.976822	0.745128	0.011957	9.8
282	-1.758414	71.952463	0.745323	0.010887	11.4
283	-1.770818	71.948422	0.745356	0.011270	12.7
284	-1.783613	71.928548	0.745515	0.008590	9.8
285	-1.774345	71.914061	0.745631	0.010818	9.6
286	-1.763230	71.890781	0.745818	0.009096	9.7
287	-1.768484	71.873546	0.745957	0.007985	10.5
288	-1.775136	71.921942	0.745568	0.007217	9.5
289	-1.777128	71.950213	0.745341	0.013280	13.1
290	-1.769527	72.868900	0.738047	0.009762	11.7
291	-1.770350	72.853620	0.738167	0.011707	10.0
292	-1.765706	73.853554	0.730385	0.011937	10.9
293	-1.770136	73.914569	0.729916	0.011977	10.5
294	-1.772437	74.914569	0.722306	0.012501	10.5
295	-1.767579	75.721089	0.716283	0.011417	11.0
296	-1.768677	76.692303	0.709162	0.007677	10.2
297	-1.765673	77.325696	0.704593	0.008918	9.8
298	-1.763482	77.552787	0.702970	0.010436	10.6
299	-1.757982	77.529064	0.703139	0.007889	9.6
300	-1.762145	77.941867	0.700205	0.014163	8.9
301	-1.777910	77.917495	0.700378	0.012217	11.1
302	-1.767925	77.893120	0.700551	0.012780	10.3
303	-1.776464	78.891788	0.693547	0.007844	10.5
304	-1.766786	79.129534	0.691900	0.009897	11.4
305	-1.773501	79.941007	0.686338	0.016948	10.9
306	-1.776760	79.916633	0.686504	0.009972	11.9
307	-1.776343	80.912254	0.679797	0.013344	12.2
308	-1.758313	80.887891	0.679959	0.011402	10.5
309	-1.773713	80.999970	0.679212	0.010333	11.4
310	-1.769770	80.975630	0.679374	0.008717	11.0
311	-1.762003	81.796658	0.673948	0.007606	9.9
312	-1.756238	81.824668	0.673765	0.008739	10.6
313	-1.775554	82.062403	0.672211	0.009584	11.5
314	-1.766543	82.038043	0.672369	0.009620	10.1
