1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.650328	0.000000	6.887595	0.059325	346.7
1	-0.679518	0.000000	6.887595	0.060876	10.7
2	-0.696993	0.000000	6.887595	0.061086	12.7
3	-0.739092	0.000000	6.887595	0.061779	11.8
4	-0.751401	0.000000	6.887595	0.062918	12.2
5	-0.776178	0.000000	6.887595	0.064331	11.1
6	-0.798490	0.000000	6.887595	0.064576	12.4
7	-0.829564	0.000000	6.887595	0.064194	10.0
8	-0.858759	0.000000	6.887595	0.066501	10.3
9	-0.890621	0.000000	6.887595	0.064651	8.8
10	-0.924385	0.000000	6.887595	0.065799	10.4
11	-0.929176	0.000000	6.887595	0.067953	11.2
12	-0.972603	0.000000	6.887595	0.070141	12.8
13	-0.994563	0.000000	6.887595	0.071358	12.0
14	-1.021106	0.000000	6.887595	0.072196	11.2
15	-1.064813	0.000000	6.887595	0.075904	10.1
16	-1.096899	0.000000	6.887595	0.078260	10.4
17	-1.147407	0.000000	6.887595	0.083470	10.5
18	-1.199530	0.000000	6.887595	0.086914	10.9
19	-1.219275	0.000000	6.887595	0.093499	11.0
20	-1.299053	0.000000	6.887595	0.097137	10.7
21	-1.352006	0.000000	6.887595	0.103088	11.6
22	-1.442665	0.000000	6.887595	0.108630	11.4
23	-1.508111	0.000000	6.887595	0.110127	10.4
24	-1.602657	0.000000	6.887595	0.100174	9.7
25	-1.642216	0.000000	6.887595	0.083577	10.5
26	-1.669290	0.000000	6.887595	0.061066	13.5
27	-1.703815	0.000000	6.887595	0.046077	10.1
28	-1.714199	0.000000	6.887595	0.034401	10.2
29	-1.711591	0.000000	6.887595	0.030617	10.1
30	-1.738749	0.000000	6.887595	0.025909	9.8
31	-1.738010	0.000000	6.887595	0.024184	9.4
32	-1.745040	0.000000	6.887595	0.021633	11.1
33	-1.721310	0.000000	6.887595	0.021154	10.9
34	-1.745197	0.000000	6.887595	0.019757	10.8
35	-1.735673	0.000000	6.887595	0.019084	12.6
36	-1.739900	0.000000	6.887595	0.017761	13.0
37	-1.753689	0.000000	6.887595	0.016472	10.7
38	-1.749099	0.000000	6.887595	0.016536	9.5
39	-1.739343	0.000000	6.887595	0.015424	10.5
40	-1.742081	0.000000	6.887595	0.015704	9.6
41	-1.739392	0.000000	6.887595	0.013500	8.8
42	-1.739794	0.000000	6.887595	0.013806	8.0
43	-1.735900	0.000000	6.887595	0.013111	7.5
44	-1.739139	0.000000	6.887595	0.012046	8.9
45	-1.743399	0.000000	6.887595	0.011758	8.3
46	-1.741915	0.000000	6.887595	0.012601	9.7
47	-1.734722	0.000000	6.887595	0.011975	10.0
48	-1.743216	0.000000	6.887595	0.011429	12.0
49	-1.740302	0.000000	6.887595	0.009530	11.5
50	-1.741143	0.000000	6.887595	0.010723	8.8
51	-1.734881	0.000000	6.887595	0.011014	9.5
52	-1.735990	0.000000	6.887595	0.009928	10.3
53	-1.749647	0.000000	6.887595	0.009843	12.3
54	-1.757176	0.000000	6.887595	0.009649	11.5
55	-1.736199	0.000000	6.887595	0.009346	11.3
56	-1.742454	0.000000	6.887595	0.008618	10.0
57	-1.748525	0.000000	6.887595	0.009905	8.9
58	-1.744253	0.000000	6.887595	0.011086	9.5
59	-1.751169	0.000000	6.887595	0.008425	8.8
60	-1.736039	0.000000	6.887595	0.009335	9.4
