1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.017224	0.000000	7.766709	0.022800	349.9
1	-1.005148	0.000000	7.766709	0.024964	10.9
2	-1.021058	0.698359	7.516739	0.033311	12.0
3	-1.014781	1.698339	7.185587	0.038578	11.3
4	-1.003651	2.698339	6.882377	0.027276	11.6
5	-1.015470	3.698339	6.603719	0.025886	11.4
6	-1.021034	4.698339	6.346749	0.023496	12.1
7	-1.008919	5.698339	6.109028	0.023872	11.4
8	-1.001147	5.546240	6.144030	0.032421	10.5
9	-1.006894	6.546213	5.920992	0.037428	13.0
10	-1.007438	7.546213	5.713574	0.030143	9.7
11	-1.002383	8.546213	5.520196	0.024611	9.8
12	-1.002432	9.546213	5.339480	0.020575	8.3
13	-1.010794	9.395268	5.365996	0.019675	9.1
14	-1.006140	10.395268	5.195079	0.021626	10.6
15	-1.002866	10.448272	5.186323	0.020170	10.1
16	-1.010377	11.446609	5.026747	0.026870	9.5
17	-1.000197	12.446609	4.876455	0.018365	11.8
18	-1.007573	13.446609	4.734890	0.020396	11.9
19	-1.016848	14.446609	4.601312	0.024018	12.6
20	-1.010890	15.446609	4.475064	0.016537	10.9
21	-1.023166	15.294510	4.493817	0.017556	11.8
22	-1.003575	16.294510	4.373322	0.019980	11.5
23	-1.021930	16.407645	4.360095	0.020978	12.0
24	-1.006432	17.407640	4.246574	0.018882	10.8
25	-1.023170	17.678860	4.216797	0.017731	10.6
26	-1.013999	18.677600	4.110654	0.022240	10.7
27	-1.014769	19.677474	4.009612	0.015829	10.6
28	-1.012648	20.677473	3.913407	0.015524	12.5
29	-1.012578	21.390361	3.847594	0.028281	12.1
30	-1.031354	22.390361	3.758920	0.030716	10.2
31	-1.008259	23.390361	3.674241	0.015550	10.1
32	-1.000452	23.378589	3.675216	0.019565	9.9
33	-1.005566	24.278663	3.602158	0.029302	10.9
34	-1.009608	24.126565	3.614299	0.014639	10.5
35	-1.022309	23.977518	3.626276	0.021595	8.2
36	-1.014791	24.977518	3.547405	0.016277	8.8
37	-1.006833	24.825420	3.559180	0.019387	10.2
38	-1.019821	25.825401	3.483171	0.020262	10.8
39	-1.035015	26.821458	3.410622	0.025181	11.3
40	-1.016636	27.821458	3.340762	0.016176	11.8
41	-1.025548	28.821458	3.273708	0.022673	9.6
42	-1.022502	29.821458	3.209292	0.016899	9.6
43	-1.017329	30.821212	3.147377	0.012496	11.4
44	-0.996195	31.821211	3.087792	0.013921	12.2
45	-1.004050	31.669441	3.096689	0.019278	12.6
46	-1.016744	32.669441	3.038990	0.021963	11.2
47	-0.997540	32.517398	3.047624	0.019766	10.1
48	-1.015977	33.517398	2.991722	0.026683	11.2
49	-1.026767	33.365299	3.000092	0.013706	10.3
50	-1.020664	34.365285	2.945905	0.018017	10.4
51	-1.008585	34.214195	2.953967	0.024460	12.0
52	-1.014958	35.214195	2.901418	0.015613	12.7
53	-1.021409	35.066763	2.909048	0.022420	10.3
54	-1.003990	36.066759	2.858072	0.029858	11.0
55	-1.001701	37.066759	2.808851	0.017777	10.7
56	-1.013201	38.066758	2.761298	0.013271	10.5
57	-1.019004	39.062624	2.715514	0.014514	10.7
58	-1.005606	38.910596	2.722405	0.027423	11.0
59	-1.008798	38.758498	2.729334	0.026045	9.0
60	-1.013816	39.758498	2.684413	0.018438	9.8
61	-1.023356	40.758359	2.640953	0.022950	10.0
62	-1.002814	41.758359	2.598871	0.012975	10.2
63	-1.004394	42.758359	2.558110	0.026578	10.1
64	-1.011443	42.606261	2.564227	0.019605	11.0
65	-1.001266	43.606261	2.524537	0.018680	11.0
66	-1.025884	43.454162	2.530494	0.034945	9.9
67	-1.007803	44.454162	2.491834	0.021790	10.3
68	-1.020033	45.454162	2.454337	0.017309	12.4
69	-1.006908	45.302575	2.459948	0.019997	10.2
70	-1.007786	45.150701	2.465596	0.018584	9.7
71	-1.022043	46.150701	2.428879	0.019698	10.7
72	-1.015056	46.711377	2.408766	0.013953	9.6
73	-1.019083	47.711372	2.373710	0.018519	10.4
