1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.059720	0.000000	7.814323	0.030542	349.0
1	-1.070357	0.000000	7.814323	0.023878	12.2
2	-1.065285	0.000000	7.814323	0.021941	14.1
3	-1.095786	0.354948	7.684439	0.020035	11.4
4	-1.076838	0.235811	7.727550	0.019169	11.2
5	-1.071766	1.235762	7.380039	0.024270	11.8
6	-1.067828	2.232156	7.063520	0.025676	10.6
7	-1.094511	3.232156	6.772026	0.019447	12.8
8	-1.077726	4.232156	6.503637	0.014619	9.4
9	-1.069245	5.231932	6.255765	0.015355	9.8
10	-1.059067	5.159884	6.272994	0.010151	11.3
11	-1.065688	6.159242	6.042171	0.013376	9.5
12	-1.075480	6.052180	6.066084	0.021222	9.6
13	-1.066083	5.933043	6.092917	0.012250	8.7
14	-1.086931	6.338028	6.002656	0.023548	9.9
15	-1.083553	7.338014	5.790836	0.016541	10.9
16	-1.087380	8.338014	5.593453	0.014814	11.8
17	-1.085034	9.338014	5.409081	0.016820	11.2
18	-1.107164	9.219610	5.430275	0.023862	10.9
19	-1.074397	10.219610	5.256337	0.023388	10.8
20	-1.074281	11.219610	5.093196	0.013192	12.4
21	-1.089738	12.112854	4.955803	0.024219	10.2
22	-1.080270	12.769699	4.859409	0.016217	11.7
23	-1.085041	13.769698	4.719649	0.015516	12.7
24	-1.055067	13.650562	4.735877	0.014924	10.6
25	-1.079442	13.533652	4.751909	0.018343	11.6
26	-1.078777	14.533634	4.618182	0.020014	12.7
27	-1.109931	15.533615	4.491775	0.016718	12.9
28	-1.088141	15.424797	4.505194	0.017418	11.2
29	-1.066450	16.424797	4.384814	0.018368	10.9
30	-1.085467	17.405233	4.272876	0.014984	11.9
31	-1.085619	18.405233	4.164442	0.013441	11.0
32	-1.078463	19.369935	4.064926	0.017470	10.5
33	-1.090820	20.368234	3.966831	0.017648	11.6
34	-1.077947	21.368008	3.873224	0.016682	10.3
35	-1.080421	22.361863	3.784450	0.009960	12.5
36	-1.087352	22.242785	3.794871	0.017231	13.2
37	-1.075039	22.124654	3.805266	0.012581	11.8
38	-1.094434	22.439950	3.777647	0.017734	11.2
39	-1.065898	22.606070	3.763256	0.019488	9.9
40	-1.085923	23.606070	3.678889	0.012085	10.1
41	-1.080778	23.486934	3.688741	0.015730	11.1
42	-1.071376	24.486934	3.607647	0.016587	10.3
43	-1.077041	25.486924	3.530042	0.017607	9.6
