1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.265141	0.000000	5.881106	0.033822	359.8
1	-1.277269	0.000000	5.881106	0.018001	10.6
2	-1.278091	0.000000	5.881106	0.015710	10.7
3	-1.266331	0.000000	5.881106	0.014528	11.2
4	-1.265049	0.000000	5.881106	0.024824	10.1
5	-1.285178	0.000000	5.881106	0.023252	11.6
6	-1.294768	1.000000	5.613783	0.027100	12.0
7	-1.274007	2.000000	5.369706	0.024799	10.0
8	-1.265408	3.000000	5.145968	0.015732	9.9
9	-1.308324	3.999996	4.940130	0.018437	12.4
10	-1.279127	4.999996	4.750125	0.031132	11.3
11	-1.292424	5.999996	4.574195	0.020986	13.3
12	-1.278670	6.999996	4.410830	0.013831	10.8
13	-1.284551	7.267428	4.369101	0.023017	11.9
14	-1.296599	8.267428	4.219819	0.013640	10.6
15	-1.281932	9.267428	4.080401	0.009349	10.4
16	-1.268161	10.261801	3.950612	0.021260	11.9
17	-1.256526	10.191081	3.959569	0.024185	11.1
18	-1.284168	11.191081	3.836567	0.012216	13.5
19	-1.283729	11.842589	3.760460	0.015792	11.7
20	-1.267499	12.153559	3.725188	0.017720	11.8
21	-1.271402	13.153559	3.616116	0.016439	11.6
22	-1.280356	13.082259	3.623681	0.018741	9.8
23	-1.280148	14.012749	3.527379	0.011610	10.2
24	-1.282729	15.011378	3.429562	0.013028	9.7
25	-1.315700	16.010024	3.337021	0.016088	9.5
26	-1.273774	16.777363	3.269239	0.017149	9.7
27	-1.282286	17.777324	3.184934	0.021541	9.6
28	-1.272642	17.871919	3.177184	0.020364	10.4
29	-1.271010	17.806871	3.182510	0.022170	10.2
30	-1.271014	18.077193	3.160494	0.013254	11.5
31	-1.300566	18.005889	3.166272	0.024947	11.9
32	-1.281809	19.005889	3.087126	0.014881	9.9
33	-1.283947	18.935276	3.092585	0.019499	10.1
34	-1.288193	19.935275	3.017037	0.016734	11.1
35	-1.303965	20.935275	2.945092	0.020136	11.7
36	-1.270788	20.863971	2.950108	0.027401	11.2
37	-1.269026	21.863971	2.881283	0.014244	10.6
38	-1.288445	22.792725	2.820177	0.019863	12.0
39	-1.293433	22.806872	2.819266	0.020524	11.8
40	-1.301105	23.806177	2.756389	0.015249	10.2
41	-1.296055	23.734873	2.760782	0.012566	10.3
