1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.797444	0.000000	7.107051	0.051978	241.5
1	-0.770871	0.000000	7.107051	0.054377	7.1
2	-0.786357	0.000000	7.107051	0.055071	7.1
3	-0.854285	0.000000	7.107051	0.058027	7.4
4	-0.860037	0.000000	7.107051	0.058952	7.0
5	-0.875117	0.000000	7.107051	0.060720	6.9
6	-0.881027	0.000000	7.107051	0.057680	6.9
7	-0.943688	0.000000	7.107051	0.060740	6.2
8	-0.945217	0.000000	7.107051	0.061650	7.2
9	-0.968930	0.000000	7.107051	0.067323	6.8
10	-1.006572	0.000000	7.107051	0.065061	6.7
11	-1.065830	0.000000	7.107051	0.065889	6.8
12	-1.056497	0.000000	7.107051	0.068428	7.4
13	-1.134123	0.000000	7.107051	0.070091	7.2
14	-1.144299	0.000000	7.107051	0.070461	6.9
15	-1.217512	0.000000	7.107051	0.071933	6.7
16	-1.218447	0.000000	7.107051	0.071085	6.7
17	-1.213263	0.000000	7.107051	0.075671	6.8
18	-1.295940	0.000000	7.107051	0.071767	6.8
19	-1.329885	0.000000	7.107051	0.073857	6.5
20	-1.349053	0.000000	7.107051	0.070460	6.4
21	-1.408962	0.000000	7.107051	0.067131	6.5
22	-1.447744	0.000000	7.107051	0.064818	5.6
23	-1.449104	0.000000	7.107051	0.057900	6.4
24	-1.496517	0.000000	7.107051	0.050946	6.6
25	-1.499725	0.000000	7.107051	0.045881	7.4
26	-1.556386	0.000000	7.107051	0.037105	6.2
27	-1.570302	0.000000	7.107051	0.032440	7.1
28	-1.562269	0.000000	7.107051	0.025026	7.6
29	-1.559494	0.000000	7.107051	0.022960	5.9
30	-1.524019	0.000000	7.107051	0.020902	6.2
31	-1.559294	0.000000	7.107051	0.017524	7.1
32	-1.566934	0.000000	7.107051	0.016921	7.3
33	-1.547213	0.000000	7.107051	0.011230	6.6
34	-1.587655	0.000000	7.107051	0.010896	6.3
35	-1.551491	0.000000	7.107051	0.007799	6.5
36	-1.557270	0.000000	7.107051	0.008632	6.4
37	-1.579231	0.000000	7.107051	0.006627	6.5
38	-1.548949	0.000000	7.107051	0.006217	6.4
39	-1.565804	0.000000	7.107051	0.005214	6.4
40	-1.566532	0.000000	7.107051	0.006244	6.1
41	-1.561083	0.000000	7.107051	0.004517	6.4
42	-1.561636	0.000000	7.107051	0.005721	6.3
43	-1.574366	0.000000	7.107051	0.005799	6.8
44	-1.556535	0.000000	7.107051	0.005970	6.9
45	-1.583066	0.000000	7.107051	0.003752	7.5
46	-1.595228	0.000000	7.107051	0.004994	6.7
47	-1.574719	0.000000	7.107051	0.004507	7.2
48	-1.546637	0.000000	7.107051	0.005353	7.7
49	-1.563282	0.999995	6.784004	0.005665	8.3
50	-1.587137	1.999975	6.489053	0.006102	6.6
51	-1.571423	1.986351	6.492899	0.004680	6.3
52	-1.567376	2.986351	6.222208	0.005007	6.3
53	-1.562612	3.986351	5.973184	0.003818	6.1
54	-1.576844	3.972726	5.976442	0.005602	7.2
55	-1.578220	3.959103	5.979705	0.005089	6.1
56	-1.586616	3.945478	5.982971	0.006832	6.5
57	-1.570804	3.931854	5.986240	0.003911	7.1
58	-1.565881	3.918240	5.989511	0.005682	6.6
59	-1.573926	3.904677	5.992772	0.007721	7.2
60	-1.574384	4.347452	5.888089	0.005140	6.9
61	-1.553826	4.333828	5.891256	0.003956	6.3
62	-1.588899	4.320203	5.894426	0.005265	6.3
63	-1.551598	5.315641	5.671458	0.003973	6.9
64	-1.555638	5.302017	5.674396	0.004252	6.9
65	-1.554461	5.288392	5.677337	0.005246	6.5
66	-1.563559	5.274767	5.680281	0.002789	6.2
67	-1.580666	5.691997	5.591491	0.003544	6.3
68	-1.552232	5.857266	5.557083	0.004342	7.2
69	-1.537891	5.843641	5.559904	0.004196	6.6
70	-1.605737	5.830016	5.562727	0.005390	6.3
71	-1.564115	5.816392	5.565553	0.004518	5.4
72	-1.554378	6.801604	5.368326	0.004932	5.6
73	-1.588731	6.787979	5.370958	0.004235	6.4
74	-1.581980	6.774355	5.373592	0.005680	6.6
75	-1.581030	6.760731	5.376230	0.003836	6.5
76	-1.577209	6.747106	5.378869	0.003460	6.4
77	-1.579417	6.733481	5.381512	0.006091	6.6
78	-1.565214	6.719935	5.384142	0.004163	6.6
79	-1.588834	6.706311	5.386789	0.004054	6.3
80	-1.560232	6.692686	5.389440	0.004094	6.2
81	-1.542041	7.386670	5.257681	0.003670	6.2
82	-1.570835	8.342260	5.086454	0.002953	6.8
83	-1.565826	8.328635	5.088817	0.003455	6.6
84	-1.580407	8.315013	5.091182	0.004236	6.1
85	-1.574874	8.316393	5.090942	0.003544	6.4
86	-1.548899	8.302768	5.093309	0.004295	6.6
87	-1.546202	8.289144	5.095679	0.003417	6.6
88	-1.591857	8.275519	5.098050	0.004539	6.6
89	-1.588142	8.261894	5.100424	0.003263	6.3
90	-1.573137	8.248270	5.102800	0.004192	6.4
91	-1.563693	8.234657	5.105176	0.004649	6.5
92	-1.582326	9.234299	4.936382	0.004450	6.3
93	-1.564103	9.220674	4.938608	0.003572	6.5
94	-1.579542	9.207050	4.940835	0.003689	6.4
95	-1.595304	9.193425	4.943065	0.003148	6.7
96	-1.590617	9.181074	4.945088	0.003991	6.3
97	-1.571649	9.167449	4.947321	0.005689	7.2
98	-1.587799	9.153825	4.949557	0.003785	6.5
99	-1.562635	10.074740	4.802874	0.004956	6.1
100	-1.567267	10.061116	4.804981	0.005537	6.3
101	-1.580686	10.047491	4.807089	0.005568	6.6
102	-1.581832	10.033866	4.809200	0.004849	7.1
103	-1.589189	11.033565	4.659115	0.003257	7.1
104	-1.575247	11.019941	4.661097	0.004180	6.2
105	-1.578397	11.006316	4.663082	0.004324	6.2
106	-1.573653	11.094951	4.650204	0.003019	6.4
107	-1.578514	11.233995	4.630145	0.003970	6.7
108	-1.579794	11.220543	4.632078	0.003514	6.7
109	-1.587550	11.255677	4.627032	0.004938	6.2
110	-1.552005	11.242052	4.628988	0.003568	6.3
111	-1.594596	11.229445	4.630798	0.004381	6.9
112	-1.548451	11.215820	4.632757	0.003323	6.9
113	-1.562520	11.202196	4.634717	0.003401	6.5
114	-1.595710	11.188860	4.636637	0.004050	6.4
115	-1.557818	11.175235	4.638601	0.004258	7.3
116	-1.575521	11.161610	4.640566	0.003801	7.4
117	-1.561533	11.162027	4.640505	0.003672	6.5
118	-1.571271	11.148402	4.642472	0.004312	6.7
119	-1.590468	11.134871	4.644427	0.004289	6.4
120	-1.553833	11.971571	4.526568	0.004650	6.8
121	-1.589088	12.971571	4.393322	0.003632	6.6
122	-1.586714	12.961579	4.394615	0.005654	6.8
123	-1.598215	12.947955	4.396379	0.004084	6.4
124	-1.550244	12.934330	4.398144	0.002697	6.8
125	-1.560047	12.947590	4.396426	0.002823	6.7
126	-1.576761	13.100675	4.376689	0.005815	6.4
127	-1.577315	13.087050	4.378439	0.003039	6.8
128	-1.578229	13.073426	4.380189	0.004268	6.5
129	-1.580663	13.060937	4.381795	0.006418	7.0
130	-1.583894	13.047317	4.383548	0.003762	6.7
131	-1.569192	13.033692	4.385303	0.004637	6.3
132	-1.597802	13.020159	4.387048	0.003450	6.6
133	-1.588205	13.006997	4.388746	0.004592	6.6
134	-1.574129	12.993374	4.390505	0.002946	6.7
135	-1.597747	12.979749	4.392265	0.004547	6.5
136	-1.590924	12.966125	4.394027	0.004410	6.8
137	-1.604377	13.917203	4.274342	0.005396	6.1
138	-1.583697	14.915965	4.155480	0.004159	7.3
139	-1.582404	14.902340	4.157057	0.004837	7.5
140	-1.554431	14.888716	4.158635	0.004203	9.3
141	-1.578994	14.875091	4.160214	0.004045	7.3
142	-1.603989	14.861466	4.161795	0.004315	7.1
143	-1.581760	14.847842	4.163376	0.003791	6.9
144	-1.575650	14.834217	4.164959	0.003937	8.9
145	-1.556013	14.820630	4.166539	0.003957	6.5
146	-1.602058	14.807005	4.168125	0.004825	7.9
147	-1.592719	14.793381	4.169711	0.003729	5.6
148	-1.559131	14.779756	4.171299	0.003669	5.9
149	-1.588130	14.777020	4.171618	0.003885	6.5
150	-1.607326	14.763395	4.173207	0.004300	6.8
151	-1.586521	14.749771	4.174798	0.004307	7.8
152	-1.583449	14.736146	4.176389	0.003231	9.0
153	-1.578737	14.725997	4.177576	0.004180	9.7
154	-1.570520	14.712373	4.179170	0.005226	8.7
155	-1.585601	14.698748	4.180765	0.004615	8.1
156	-1.606092	14.685123	4.182361	0.004242	6.7
157	-1.575842	15.674291	4.069555	0.004363	7.1
158	-1.578188	15.775018	4.058409	0.004363	6.5
159	-1.575304	15.761393	4.059913	0.004575	7.5
160	-1.590137	15.808200	4.054750	0.003860	7.3
161	-1.580958	15.794576	4.056252	0.003753	6.6
162	-1.589170	15.782555	4.057577	0.005628	7.1
163	-1.572484	15.768930	4.059081	0.004343	7.5
164	-1.562599	16.206535	4.011340	0.003670	7.7
165	-1.581327	16.192911	4.012809	0.003720	6.6
166	-1.560915	16.179286	4.014280	0.002663	6.2
167	-1.583510	16.165662	4.015751	0.003662	6.6
168	-1.604288	16.152037	4.017224	0.003115	7.2
169	-1.583255	16.449299	3.985337	0.004327	6.9
170	-1.583938	16.435675	3.986787	0.004076	6.6
171	-1.599329	16.422050	3.988239	0.004371	8.2
172	-1.590792	16.408560	3.989677	0.004580	7.5
173	-1.582719	16.394935	3.991130	0.006920	6.5
174	-1.600096	16.381311	3.992585	0.004455	6.2
175	-1.583187	16.367686	3.994041	0.003738	5.7
176	-1.592001	16.354061	3.995498	0.002884	6.1
177	-1.559618	16.340499	3.996949	0.003369	6.8
178	-1.590002	16.326874	3.998408	0.004836	7.0
179	-1.573776	16.313249	3.999868	0.001796	7.1
180	-1.590212	16.299625	4.001329	0.003649	6.3
181	-1.576237	16.287181	4.002664	0.004015	6.8
182	-1.573074	16.273557	4.004127	0.005642	6.9
183	-1.603447	16.259932	4.005591	0.003651	7.9
184	-1.571394	16.246307	4.007057	0.006125	6.5
185	-1.585095	16.232683	4.008523	0.004956	7.6
186	-1.570404	16.220106	4.009877	0.004600	6.6
187	-1.617495	16.207480	4.011238	0.005281	6.6
188	-1.578383	16.193888	4.012704	0.004358	6.8
189	-1.609183	16.180312	4.014169	0.003601	7.0
190	-1.592208	16.166735	4.015636	0.003817	6.9
191	-1.603697	16.153795	4.017034	0.003861	6.7
192	-1.583973	16.140170	4.018508	0.004945	7.1
193	-1.586203	16.126545	4.019982	0.004338	7.2
194	-1.578182	16.618163	3.967447	0.005330	7.2
195	-1.598341	16.604538	3.968884	0.005727	7.2
196	-1.574541	17.604538	3.866076	0.003512	6.3
197	-1.585755	17.590914	3.867440	0.005254	6.9
198	-1.583230	18.590737	3.769772	0.004130	5.7
199	-1.611205	19.590720	3.676901	0.004530	6.0
200	-1.575540	19.577142	3.678131	0.004276	6.8
201	-1.554898	19.563517	3.679367	0.003914	6.6
202	-1.586017	19.549893	3.680603	0.002572	8.8
203	-1.608995	19.536390	3.681829	0.003135	8.4
204	-1.606292	19.522767	3.683067	0.004198	8.6
205	-1.579669	19.509142	3.684306	0.003177	7.1
206	-1.597091	19.495518	3.685545	0.003267	7.2
207	-1.581260	19.481893	3.686786	0.003624	8.3
208	-1.609784	19.468268	3.688027	0.003898	9.0
209	-1.600389	19.454644	3.689269	0.005605	7.3
210	-1.590294	19.441019	3.690512	0.004287	6.9
211	-1.575170	19.427394	3.691756	0.004038	10.2
212	-1.605257	19.413770	3.693000	0.005830	6.9
213	-1.610837	19.400145	3.694246	0.004627	6.5
214	-1.613499	19.386520	3.695492	0.003977	6.5
215	-1.568599	19.372896	3.696739	0.005783	7.5
216	-1.602023	20.369093	3.607719	0.003525	6.9
217	-1.579152	20.355469	3.608908	0.006157	6.6
218	-1.595962	20.341844	3.610097	0.004930	6.5
219	-1.576932	20.333127	3.610858	0.005393	6.7
220	-1.600436	20.319502	3.612049	0.003336	7.4
221	-1.609756	20.305877	3.613240	0.003600	6.3
222	-1.592230	20.292253	3.614433	0.003318	6.8
223	-1.596082	20.278628	3.615626	0.003585	6.3
224	-1.611487	20.265025	3.616817	0.002719	6.2
225	-1.569583	21.097503	3.545295	0.003527	6.3
226	-1.577443	21.083998	3.546433	0.003844	6.4
227	-1.594603	21.070384	3.547580	0.005413	6.6
228	-1.604706	21.056759	3.548729	0.004292	6.4
229	-1.587235	21.043134	3.549880	0.004476	7.7
230	-1.616831	21.029510	3.551030	0.004679	6.5
231	-1.582339	21.015885	3.552182	0.004077	6.2
232	-1.593438	21.002260	3.553334	0.005136	6.7
233	-1.619915	21.109102	3.544318	0.003099	5.9
234	-1.604600	21.098547	3.545207	0.003370	6.7
235	-1.598692	21.084922	3.546355	0.002819	7.4
236	-1.600073	21.071299	3.547503	0.004126	7.2
237	-1.615433	21.057683	3.548652	0.003207	6.8
238	-1.577710	21.044059	3.549801	0.003769	7.8
239	-1.606272	21.030434	3.550952	0.003624	7.5
