1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.147029	0.000000	4.252205	0.096519	354.7
1	-1.194007	0.000000	4.252205	0.099618	11.5
2	-1.231016	0.000000	4.252205	0.101005	11.9
3	-1.288844	0.000000	4.252205	0.104920	10.7
4	-1.316492	0.000000	4.252205	0.108867	10.6
5	-1.363812	0.000000	4.252205	0.111937	10.3
6	-1.414311	0.000000	4.252205	0.111338	11.4
7	-1.482733	0.000000	4.252205	0.109946	12.3
8	-1.521834	0.000000	4.252205	0.109027	11.4
9	-1.584707	0.000000	4.252205	0.103150	10.1
10	-1.613182	0.000000	4.252205	0.097086	9.9
11	-1.647494	0.000000	4.252205	0.090261	10.0
12	-1.685588	0.000000	4.252205	0.076657	7.9
13	-1.704962	0.000000	4.252205	0.065678	8.0
14	-1.715045	0.000000	4.252205	0.057247	9.4
15	-1.742035	0.000000	4.252205	0.048515	9.9
16	-1.751137	0.000000	4.252205	0.039967	10.2
17	-1.769740	0.000000	4.252205	0.035070	9.5
18	-1.753288	0.000000	4.252205	0.031369	12.1
19	-1.745106	0.000000	4.252205	0.028452	10.5
20	-1.766330	0.000000	4.252205	0.026752	11.5
21	-1.767062	0.000000	4.252205	0.024691	14.7
22	-1.780154	0.000000	4.252205	0.022250	11.5
23	-1.774957	0.000000	4.252205	0.021594	12.4
24	-1.777127	0.000000	4.252205	0.020461	11.1
25	-1.780253	0.000000	4.252205	0.019851	12.4
26	-1.748627	0.000000	4.252205	0.018790	12.1
27	-1.776837	0.000000	4.252205	0.019017	10.2
28	-1.776846	0.000000	4.252205	0.018493	10.7
29	-1.772458	0.000000	4.252205	0.017806	9.8
30	-1.792941	0.000000	4.252205	0.017847	9.1
31	-1.783773	0.000000	4.252205	0.016998	10.8
32	-1.782900	0.000000	4.252205	0.015585	10.7
33	-1.761325	0.000000	4.252205	0.016226	10.7
34	-1.788227	0.000000	4.252205	0.016137	11.0
35	-1.778930	0.000000	4.252205	0.014723	10.1
36	-1.777977	0.000000	4.252205	0.014723	10.7
37	-1.782180	0.000000	4.252205	0.015097	12.1
38	-1.788976	0.000000	4.252205	0.014210	10.4
