1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.071721	0.000000	6.263399	0.020733	358.3
1	-1.081201	0.000000	6.263399	0.027167	11.4
2	-1.074081	1.000000	5.978699	0.014156	11.6
3	-1.086537	1.999999	5.718756	0.016527	11.8
4	-1.051829	1.885646	5.747331	0.030423	10.8
5	-1.063254	2.885646	5.506713	0.032824	11.6
6	-1.078727	3.885646	5.285432	0.028983	10.6
7	-1.084424	3.768976	5.310328	0.028310	11.3
8	-1.076057	4.768976	5.104254	0.019818	11.1
9	-1.065140	5.768976	4.913576	0.021708	11.2
10	-1.060638	6.768959	4.736634	0.025416	12.6
11	-1.079292	7.768959	4.571990	0.029210	12.0
12	-1.065856	8.768959	4.418407	0.025618	11.5
13	-1.069159	9.768959	4.274808	0.024512	11.7
14	-1.070269	10.768956	4.140249	0.026050	12.0
15	-1.069961	11.768955	4.013902	0.021800	9.9
16	-1.079136	12.340651	3.945076	0.032331	10.2
17	-1.044559	12.230490	3.958154	0.039757	9.5
18	-1.083898	13.153084	3.851230	0.045509	10.8
19	-1.072241	14.153084	3.741674	0.031008	10.6
20	-1.084749	14.036414	3.754134	0.021515	12.2
21	-1.081669	14.811497	3.672882	0.027130	10.1
22	-1.072482	14.694827	3.684887	0.015594	10.0
23	-1.089516	14.583206	3.696446	0.034904	10.7
24	-1.072347	14.466536	3.708605	0.034210	11.7
25	-1.082181	15.466536	3.606907	0.028826	11.0
26	-1.074967	16.466536	3.510636	0.016934	10.9
27	-1.066603	17.466533	3.419372	0.019865	11.2
28	-1.083306	18.466519	3.332733	0.023310	11.5
29	-1.091012	19.429858	3.253323	0.016780	10.4
30	-1.100521	20.426092	3.175086	0.027974	10.7
31	-1.072288	20.309615	3.184038	0.026060	9.8
32	-1.070845	21.309615	3.108782	0.018025	9.9
33	-1.088302	21.193305	3.117352	0.029728	11.2
34	-1.058859	22.191962	3.045275	0.029238	11.5
35	-1.092422	23.191962	2.976365	0.020162	9.8
36	-1.103843	24.191962	2.910504	0.026836	9.5
37	-1.059138	25.191962	2.847495	0.020617	10.7
38	-1.070358	25.126853	2.851514	0.015850	10.8
39	-1.075364	25.010183	2.858745	0.034917	12.7
40	-1.074887	26.010173	2.797935	0.023818	13.7
41	-1.094695	27.010173	2.739657	0.033600	11.3
42	-1.093438	26.893910	2.746307	0.025116	10.6
43	-1.078510	27.893910	2.690138	0.027565	9.8
44	-1.074364	27.787118	2.696027	0.026674	10.0
45	-1.065882	28.787118	2.641876	0.026563	9.4
46	-1.073311	29.786970	2.589865	0.015993	10.3
47	-1.081153	30.786970	2.539855	0.019743	9.9
48	-1.067780	30.676470	2.545286	0.013693	10.4
49	-1.079450	30.616907	2.548223	0.036544	11.3
50	-1.078424	30.500237	2.553996	0.023118	14.0
51	-1.064482	30.383567	2.559795	0.031905	10.9
52	-1.072438	31.383567	2.510928	0.021990	10.6
53	-1.067752	32.383420	2.463900	0.020464	11.0
54	-1.060408	33.361875	2.419552	0.034298	11.3
55	-1.084151	34.361875	2.375848	0.031740	10.9
56	-1.084784	34.245205	2.380865	0.022495	10.7
57	-1.071250	35.245205	2.338535	0.025282	12.3
58	-1.054022	35.128535	2.343396	0.023486	12.7
59	-1.080440	36.128535	2.302376	0.019960	12.0
60	-1.074961	36.902492	2.271601	0.032213	11.6
61	-1.066652	37.541220	2.246817	0.028880	12.2
62	-1.072264	38.540779	2.209097	0.016689	11.2
63	-1.073352	39.540779	2.172608	0.024614	10.0
64	-1.083173	40.536634	2.137449	0.038123	11.9
65	-1.068231	41.536634	2.103269	0.018661	13.6
66	-1.069208	42.536634	2.070166	0.020764	10.1
67	-1.082094	42.479536	2.072028	0.018024	11.3
68	-1.068213	43.469244	2.040219	0.020916	10.9
69	-1.061263	44.469228	2.009057	0.018485	10.4
70	-1.063131	44.668140	2.002971	0.019156	13.0
71	-1.088775	44.573385	2.005865	0.017821	12.3
72	-1.083684	45.573125	1.975743	0.016722	10.7
73	-1.092337	46.406786	1.951308	0.030680	10.3
74	-1.082408	47.066514	1.932395	0.027905	10.0
75	-1.095624	48.066514	1.904416	0.024480	10.0
76	-1.070012	47.949844	1.907639	0.018770	9.1
77	-1.072645	48.214220	1.900352	0.037569	10.5
78	-1.083624	49.214220	1.873287	0.025390	10.9
79	-1.073482	50.213478	1.847001	0.022614	10.7
80	-1.075563	51.213478	1.821424	0.023702	10.6
81	-1.077979	52.212458	1.796571	0.025656	10.1
82	-1.062897	52.095788	1.799439	0.031960	9.5
83	-1.071245	53.095788	1.775153	0.030308	9.8
84	-1.078981	54.094462	1.751546	0.020916	11.0
85	-1.072503	53.977792	1.754271	0.034014	12.7
86	-1.073557	54.977783	1.731182	0.018824	9.4
87	-1.072382	55.977729	1.708694	0.017003	10.1
88	-1.083558	55.906699	1.710272	0.025067	10.7
89	-1.063590	56.906699	1.688319	0.029367	10.6
90	-1.083018	57.906699	1.666923	0.021936	12.7
91	-1.083334	57.791790	1.669354	0.018355	11.2
92	-1.072121	57.675120	1.671830	0.025074	10.3
93	-1.084690	58.675120	1.650846	0.016321	11.1
94	-1.071840	58.921082	1.645766	0.029904	10.4
95	-1.087447	59.921082	1.625428	0.030902	13.3
96	-1.067255	60.921067	1.605587	0.018153	11.8
97	-1.092150	60.804396	1.607877	0.023817	12.0
98	-1.084251	61.802628	1.588493	0.022470	11.0
99	-1.069697	61.685957	1.590734	0.022423	10.9
100	-1.072719	61.569287	1.592982	0.036308	11.0
101	-1.085908	62.569287	1.573920	0.026693	12.1
102	-1.080498	63.569287	1.555309	0.016878	10.7
103	-1.064409	63.452617	1.557458	0.026646	10.3
104	-1.084266	64.452617	1.539232	0.014254	9.9
105	-1.104681	65.388446	1.522558	0.020845	9.3
106	-1.057559	65.483521	1.520884	0.021463	9.9
107	-1.075829	66.475980	1.503629	0.019975	9.5
108	-1.079278	66.359478	1.505634	0.036982	10.0
109	-1.061545	67.359478	1.488594	0.010767	9.7
