1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.748986	0.000000	5.035136	0.063653	354.0
1	-1.761153	0.000000	5.035136	0.035062	12.5
2	-1.762933	0.000000	5.035136	0.020235	12.4
3	-1.756370	0.000000	5.035136	0.019120	11.6
4	-1.756766	0.000000	5.035136	0.017200	11.0
5	-1.780142	0.000000	5.035136	0.014342	12.7
6	-1.749626	0.000000	5.035136	0.017984	13.0
7	-1.764518	0.089651	5.013731	0.018445	12.5
8	-1.769874	0.049189	5.023369	0.018891	12.5
9	-1.760306	0.123598	5.005674	0.018358	10.9
10	-1.763539	0.083135	5.015281	0.017735	11.8
11	-1.766253	0.595226	4.896353	0.016577	10.0
12	-1.764520	0.554764	4.905544	0.013595	10.0
13	-1.762625	1.028188	4.800115	0.015407	10.0
14	-1.783256	0.987729	4.808948	0.017808	9.8
15	-1.768029	0.947272	4.817813	0.015238	9.3
16	-1.768440	1.935489	4.610229	0.016677	11.6
17	-1.766905	2.124071	4.572631	0.018122	10.4
18	-1.770449	3.124071	4.383085	0.018456	10.8
19	-1.786364	4.124071	4.208627	0.015601	11.9
20	-1.768001	5.123992	4.047538	0.016394	14.6
21	-1.767010	5.083530	4.053817	0.011312	9.1
22	-1.767311	5.154458	4.042823	0.007878	10.9
23	-1.778081	5.119837	4.048182	0.017724	9.4
24	-1.768200	5.079836	4.054391	0.013808	10.7
25	-1.769798	5.144424	4.044375	0.012684	11.7
26	-1.762939	5.105077	4.050471	0.015713	12.8
27	-1.770806	6.104267	3.901151	0.013955	11.7
28	-1.774665	6.063806	3.906984	0.013001	12.5
29	-1.777555	6.090210	3.903176	0.010208	11.0
30	-1.765262	7.044835	3.770314	0.013190	10.5
31	-1.767886	7.021837	3.773409	0.016543	11.2
32	-1.764668	8.021837	3.643389	0.012729	10.8
33	-1.769730	9.021834	3.522032	0.014011	10.6
34	-1.768863	9.846089	3.427917	0.013470	10.1
35	-1.769455	10.845609	3.320327	0.013451	10.1
36	-1.774897	10.805146	3.324551	0.018727	11.0
37	-1.757529	11.805146	3.223209	0.013112	10.7
38	-1.772814	12.732494	3.134599	0.011315	12.8
39	-1.774092	13.246076	3.087590	0.012827	11.1
40	-1.776455	13.205961	3.091211	0.011678	14.2
41	-1.784866	13.165515	3.094871	0.009760	12.3
42	-1.771797	14.165425	3.006870	0.012409	9.6
43	-1.758366	14.140088	3.009038	0.009888	10.2
44	-1.777621	14.099627	3.012506	0.009373	10.3
45	-1.761665	14.389487	2.987832	0.013524	12.0
46	-1.779789	14.400259	2.986923	0.020361	9.5
47	-1.770661	15.400259	2.904865	0.015372	13.1
48	-1.778880	15.367091	2.907515	0.016477	10.8
49	-1.771862	16.367091	2.829705	0.010340	13.5
50	-1.777721	17.367091	2.755952	0.013083	13.1
51	-1.784948	17.374932	2.755388	0.019138	12.2
52	-1.766618	18.374932	2.685410	0.011420	11.6
53	-1.780188	19.374932	2.618898	0.007839	13.1
54	-1.775389	20.223493	2.564990	0.005475	23.4
55	-1.784846	20.183131	2.567504	0.007527	12.5
56	-1.772255	20.359563	2.556551	0.007789	10.6
57	-1.771901	20.319236	2.559047	0.011004	10.6
58	-1.776854	20.282483	2.561325	0.007196	12.4
59	-1.776897	20.262736	2.562551	0.008995	12.6
60	-1.760074	20.222914	2.565026	0.007732	11.5
61	-1.771824	20.191108	2.567007	0.010291	12.4
62	-1.763649	20.233270	2.564382	0.016093	11.8
63	-1.779543	21.232684	2.503697	0.016412	10.1
64	-1.766579	22.056113	2.455815	0.011495	10.0
65	-1.774545	22.015650	2.458125	0.007810	9.9
66	-1.770236	22.015266	2.458147	0.007229	10.0
67	-1.770311	22.089777	2.453896	0.010109	10.0
68	-1.764362	22.050968	2.456108	0.012229	10.9
69	-1.762979	22.960555	2.405289	0.014521	10.2
70	-1.775640	22.920093	2.407505	0.011831	10.6
71	-1.760098	23.920092	2.353910	0.012331	9.5
72	-1.768089	24.920071	2.302650	0.012255	10.2
73	-1.767487	24.973282	2.299985	0.012426	10.6
74	-1.769577	25.973282	2.251021	0.013260	12.1
75	-1.776243	25.943708	2.252439	0.015948	12.7
76	-1.781027	26.943708	2.205458	0.007516	12.6
77	-1.778927	27.416523	2.183921	0.008962	10.3
78	-1.775191	27.417793	2.183863	0.011481	12.5
79	-1.780449	28.416629	2.139722	0.010388	13.9
80	-1.772037	28.378975	2.141354	0.014316	10.5
81	-1.782012	29.150637	2.108405	0.010580	12.8
82	-1.778039	30.147701	2.067304	0.013318	11.4
83	-1.766708	30.107239	2.068941	0.015279	10.9
84	-1.768765	31.107069	2.029242	0.010651	11.7
85	-1.776443	31.066607	2.030819	0.012926	11.0
86	-1.769289	32.066607	1.992550	0.006064	12.4
87	-1.779965	33.053467	1.956171	0.010963	11.2
88	-1.766379	33.013858	1.957606	0.011543	10.7
89	-1.766287	34.013851	1.922022	0.010899	11.7
90	-1.780563	34.900107	1.891550	0.010234	11.6
91	-1.761931	35.899746	1.858318	0.008188	9.8
92	-1.779847	35.859905	1.859621	0.016498	9.9
93	-1.773227	35.822090	1.860858	0.010800	10.6
94	-1.769783	36.820432	1.828728	0.011017	12.4
95	-1.771680	37.700346	1.801316	0.008246	10.3
96	-1.764290	37.660408	1.802542	0.014657	11.3
