1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.466155	0.000000	6.625836	0.041613	351.4
1	-1.491199	0.000000	6.625836	0.025136	11.6
2	-1.484483	0.000000	6.625836	0.020898	12.3
3	-1.479063	0.000000	6.625836	0.021362	12.6
4	-1.476047	1.000000	6.324662	0.020665	11.1
5	-1.489193	2.000000	6.049677	0.015009	10.9
6	-1.514316	1.898480	6.076498	0.010560	9.9
7	-1.496398	2.816772	5.842209	0.017798	10.3
8	-1.481026	2.715280	5.867212	0.016146	10.7
9	-1.510385	3.715280	5.629819	0.025728	11.2
10	-1.493716	4.707506	5.412527	0.020821	13.5
11	-1.489776	5.707506	5.209867	0.020647	13.0
12	-1.499968	6.696810	5.023776	0.018430	11.5
13	-1.492935	7.622376	4.861321	0.015132	12.6
14	-1.472381	8.622376	4.697211	0.014641	11.4
15	-1.492077	8.521307	4.713293	0.012368	11.7
16	-1.490315	8.472207	4.721145	0.012639	12.6
17	-1.503739	9.457830	4.568368	0.013343	10.6
18	-1.487497	9.359338	4.583188	0.024709	10.8
19	-1.494685	10.359338	4.437038	0.010735	12.6
20	-1.493393	11.359277	4.299928	0.012879	10.2
21	-1.496554	12.145879	4.197884	0.012336	10.9
22	-1.494423	12.095819	4.204234	0.014665	10.9
23	-1.495169	13.095697	4.080942	0.009697	10.8
24	-1.505380	13.918999	3.984724	0.011699	13.1
25	-1.481109	14.788330	3.887931	0.011925	11.6
26	-1.506132	15.321562	3.830853	0.016575	10.3
27	-1.497783	16.296160	3.730748	0.010798	10.3
28	-1.484790	16.199476	3.740444	0.018630	11.5
29	-1.494384	17.199470	3.642526	0.014260	12.0
30	-1.498617	18.199420	3.549608	0.019195	9.9
31	-1.483844	18.097901	3.558824	0.014833	10.8
32	-1.493514	17.996450	3.568083	0.019949	9.6
33	-1.496249	18.996450	3.478873	0.013800	11.0
34	-1.495639	19.987664	3.394742	0.014698	10.2
35	-1.490849	19.935806	3.399043	0.014714	11.6
36	-1.489212	20.935777	3.317992	0.008763	11.3
37	-1.489653	20.835212	3.325968	0.011958	11.3
38	-1.504412	21.783457	3.252252	0.013300	10.6
39	-1.482988	22.767011	3.179165	0.015421	10.7
40	-1.474185	23.766993	3.108151	0.010903	9.9
41	-1.491299	24.058407	3.088049	0.010243	10.7
42	-1.474377	25.055856	3.021170	0.012398	14.0
43	-1.511393	24.954639	3.027824	0.015942	10.5
44	-1.484827	25.896895	2.966989	0.014061	13.4
45	-1.487656	25.912487	2.966003	0.019025	10.6
46	-1.486706	26.912487	2.904098	0.016061	12.6
47	-1.497071	26.814022	2.910079	0.015187	11.1
48	-1.494896	27.813344	2.850503	0.019445	11.6
49	-1.490125	28.813344	2.793279	0.019377	11.3
50	-1.497141	28.711833	2.798983	0.018570	10.5
51	-1.503559	29.711833	2.743789	0.013799	10.6
52	-1.475061	29.610404	2.749288	0.016144	11.8
53	-1.495641	29.510975	2.754700	0.016347	11.9
54	-1.491952	30.510975	2.701222	0.018204	12.6
55	-1.480948	30.687863	2.691977	0.017587	12.3
56	-1.500794	31.663427	2.642110	0.013017	10.3
57	-1.491950	31.561907	2.647213	0.008915	11.1
58	-1.476767	31.690729	2.640741	0.016754	10.7
59	-1.479493	32.676240	2.592256	0.012206	11.0
60	-1.490795	33.676150	2.544849	0.018921	11.0
61	-1.492599	33.599030	2.548444	0.016212	10.5
62	-1.502551	33.497510	2.553191	0.010300	10.1
63	-1.494786	34.497500	2.507186	0.011407	11.3
64	-1.503189	34.399298	2.511630	0.011044	10.5
65	-1.496809	35.398377	2.467138	0.011211	9.5
66	-1.486880	36.383091	2.424801	0.020411	10.5
67	-1.497451	37.380165	2.383388	0.016299	10.6
68	-1.484932	38.380159	2.343250	0.015732	9.6
69	-1.507669	39.380159	2.304442	0.016700	9.3
70	-1.505051	40.380159	2.266898	0.012143	9.3
71	-1.487731	40.506178	2.262253	0.015843	9.4
72	-1.471828	41.192719	2.237281	0.007670	10.5
73	-1.506942	41.165273	2.238268	0.015983	12.2
74	-1.503226	41.065575	2.241864	0.014781	11.1
75	-1.495078	42.065439	2.206320	0.016066	11.0
76	-1.509996	43.037371	2.172834	0.011366	10.8
77	-1.475269	44.037361	2.139425	0.010416	10.6
78	-1.492390	44.019503	2.140013	0.011170	10.8
79	-1.497530	43.918372	2.143346	0.014684	10.1
80	-1.468585	43.817012	2.146698	0.009705	13.1
81	-1.494506	44.162026	2.135332	0.014060	10.2
82	-1.483001	44.721387	2.117158	0.010941	10.4
83	-1.498299	45.629087	2.088316	0.016019	10.0
84	-1.486105	45.528092	2.091486	0.011216	10.3
85	-1.509137	45.608536	2.088960	0.015695	10.6
86	-1.493403	46.607772	2.058085	0.017761	10.9
87	-1.482026	46.993656	2.046405	0.010734	12.9
88	-1.490211	46.892228	2.049462	0.008635	13.0
89	-1.480703	46.871205	2.050097	0.012613	10.9
90	-1.479726	46.982142	2.046752	0.014811	11.0
91	-1.494904	46.880623	2.049813	0.012859	11.7
92	-1.504451	47.880621	2.020054	0.013184	12.5
93	-1.491176	48.351591	2.006336	0.010686	10.0
94	-1.489670	49.344516	1.978016	0.013617	11.1
95	-1.510919	49.243361	1.980864	0.021666	9.8
96	-1.490020	50.243361	1.953060	0.016135	12.4
97	-1.494653	51.243361	1.926026	0.013088	11.2
98	-1.496703	51.141841	1.928736	0.012770	10.6
99	-1.479739	52.141723	1.902369	0.016718	13.6
100	-1.502166	53.141683	1.876712	0.009129	12.2
101	-1.496951	54.136510	1.851864	0.012998	11.0
102	-1.498356	54.321672	1.847311	0.020453	13.6
103	-1.488573	55.317093	1.823216	0.017274	10.6
104	-1.500160	55.383596	1.821629	0.012486	9.8
105	-1.487173	55.691512	1.814315	0.013268	11.4
106	-1.482264	55.593252	1.816643	0.016863	11.9
107	-1.497707	56.592985	1.793236	0.018518	11.0
108	-1.495072	57.592985	1.770420	0.015729	12.0
109	-1.495258	57.491465	1.772709	0.011810	13.4
110	-1.475184	58.021591	1.760817	0.010575	12.6
111	-1.495555	59.004488	1.739184	0.017633	11.2
112	-1.491855	60.002569	1.717755	0.015576	10.8
113	-1.493253	61.002476	1.696809	0.013080	10.8
