1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.125512	0.000000	6.042992	0.030160	451.2
1	-1.141712	0.000000	6.042992	0.020512	18.2
2	-1.145754	0.999970	5.768318	0.017342	19.1
3	-1.149421	1.539639	5.630207	0.028400	14.7
4	-1.159441	2.539589	5.391038	0.023685	15.7
5	-1.118720	3.539589	5.171351	0.020988	15.2
6	-1.152854	4.539589	4.968867	0.025979	15.1
7	-1.174349	5.479569	4.792481	0.014859	14.5
8	-1.161181	6.477939	4.618353	0.036301	10.8
9	-1.143381	6.368099	4.636889	0.023587	10.6
10	-1.134694	7.368099	4.473434	0.032700	13.0
11	-1.142266	7.258257	4.490823	0.022311	12.0
12	-1.146334	8.258257	4.337334	0.024969	12.3
13	-1.121175	9.258252	4.193991	0.013413	12.2
14	-1.145776	10.258250	4.059819	0.027519	11.8
15	-1.151724	10.310996	4.052980	0.013953	10.6
16	-1.144998	11.310995	3.927543	0.025864	11.2
17	-1.144477	12.308099	3.809969	0.023100	10.8
18	-1.164016	13.308098	3.698918	0.022896	10.0
19	-1.152986	14.282620	3.596752	0.022182	9.5
20	-1.164793	14.172788	3.607983	0.022679	9.4
21	-1.160949	15.172788	3.508240	0.021302	12.1
22	-1.146857	15.067137	3.518517	0.022978	10.5
23	-1.145748	15.731436	3.454883	0.016266	10.4
24	-1.138473	16.730439	3.363407	0.021924	10.4
25	-1.144009	17.730415	3.276568	0.022822	12.6
26	-1.152466	18.730415	3.194098	0.019137	10.1
27	-1.165757	19.730415	3.115677	0.019174	10.1
28	-1.155272	19.620573	3.124102	0.027192	8.4
29	-1.133061	20.620539	3.049043	0.022631	10.0
30	-1.162736	21.620539	2.977504	0.028389	9.3
31	-1.133058	22.620514	2.909247	0.024536	11.6
32	-1.150771	23.620514	2.844047	0.016228	12.3
33	-1.171731	23.510905	2.851050	0.022855	10.2
34	-1.119349	24.510905	2.788405	0.021870	12.0
35	-1.154716	25.510905	2.728453	0.019833	10.6
